Voltage (V),Forward Scan (mA),Reverse Scan (mA)
-0.2,-2.55795,-2.54047
-0.19,-2.56005,-2.53628
-0.18,-2.56214,-2.53069
-0.17,-2.56145,-2.53418
-0.16,-2.56284,-2.5251
-0.15,-2.56284,-2.53069
-0.14,-2.56284,-2.523
-0.13,-2.55935,-2.52021
-0.12,-2.55795,-2.51881
-0.11,-2.56144,-2.51671
-0.1,-2.56144,-2.51182
-0.09,-2.56005,-2.50693
-0.08,-2.56005,-2.50693
-0.07,-2.56075,-2.50483
-0.06,-2.55725,-2.49924
-0.05,-2.55794,-2.49644
-0.04,-2.56005,-2.48876
-0.03,-2.55795,-2.49085
-0.02,-2.55585,-2.48736
-0.01,-2.55865,-2.48596
0.0,-2.55515,-2.47548
0.01,-2.55166,-2.47548
0.02,-2.54886,-2.47128
0.03,-2.55236,-2.47058
0.04,-2.54956,-2.46849
0.05,-2.55026,-2.4615
0.06,-2.54886,-2.4608
0.07,-2.54816,-2.45521
0.08,-2.54537,-2.45032
0.09,-2.54397,-2.44892
0.1,-2.54327,-2.44263
0.11,-2.54397,-2.43843
0.12,-2.54397,-2.43634
0.13,-2.53908,-2.43494
0.14,-2.54047,-2.42725
0.15,-2.53838,-2.42655
0.16,-2.53628,-2.42236
0.17,-2.53209,-2.41607
0.18,-2.53209,-2.41257
0.19,-2.53488,-2.40838
0.2,-2.53069,-2.40419
0.21,-2.52999,-2.4
0.22,-2.52789,-2.3972
0.23,-2.5258,-2.3944
0.24,-2.5223,-2.39021
0.25,-2.5251,-2.38811
0.26,-2.52161,-2.38112
0.27,-2.51671,-2.37344
0.28,-2.51671,-2.37204
0.29,-2.51671,-2.36785
0.3,-2.51392,-2.35806
0.31,-2.51112,-2.35666
0.32,-2.50972,-2.34968
0.33,-2.50553,-2.34618
0.34,-2.50623,-2.34338
0.35,-2.49994,-2.33709
0.36,-2.50064,-2.3322
0.37,-2.49365,-2.32871
0.38,-2.49155,-2.32242
0.39,-2.48946,-2.31753
0.4,-2.48596,-2.30844
0.41,-2.48526,-2.30285
0.42,-2.47897,-2.29446
0.43,-2.47757,-2.28957
0.44,-2.47408,-2.27909
0.45,-2.46988,-2.2714
0.46,-2.46569,-2.26301
0.47,-2.4615,-2.25742
0.48,-2.4594,-2.24833
0.49,-2.45661,-2.23855
0.5,-2.45171,-2.22667
0.51,-2.44403,-2.21898
0.52,-2.44193,-2.2099
0.53,-2.43634,-2.19941
0.54,-2.43284,-2.18474
0.55,-2.42795,-2.17355
0.56,-2.42585,-2.16447
0.57,-2.41607,-2.14979
0.58,-2.41048,-2.14001
0.59,-2.40489,-2.12393
0.6,-2.3958,-2.10856
0.61,-2.39301,-2.09388
0.62,-2.38392,-2.07711
0.63,-2.37763,-2.06383
0.64,-2.37064,-2.04775
0.65,-2.36226,-2.03028
0.66,-2.35387,-2.0163
0.67,-2.34548,-1.99953
0.68,-2.3371,-1.98206
0.69,-2.32731,-1.96668
0.7,-2.31473,-1.94222
0.71,-2.30075,-1.92335
0.72,-2.28747,-1.90378
0.73,-2.2728,-1.88142
0.74,-2.25532,-1.86115
0.75,-2.23436,-1.83948
0.76,-2.21479,-1.81572
0.77,-2.19103,-1.79475
0.78,-2.16587,-1.76959
0.79,-2.13372,-1.74723
0.8,-2.10087,-1.71787
0.81,-2.05963,-1.68503
0.82,-2.0149,-1.64868
0.83,-1.97018,-1.61723
0.84,-1.91426,-1.5788
0.85,-1.85067,-1.53197
0.86,-1.78497,-1.48165
0.87,-1.70809,-1.42923
0.88,-1.62702,-1.36563
0.89,-1.53267,-1.29365
0.9,-1.43552,-1.21397
0.91,-1.3265,-1.12452
0.92,-1.20908,-1.02527
0.93,-1.08887,-0.92114
0.94,-0.95189,-0.80023
0.95,-0.81421,-0.67932
0.96,-0.67024,-0.54653
0.97,-0.51368,-0.39976
0.98,-0.35923,-0.2495
0.99,-0.19359,-0.09435
1.0,-0.02865,0.07129
1.01,0.14747,0.23832
1.02,0.32638,0.41095
1.03,0.506,0.58357
1.04,0.68491,0.76109
1.05,0.86452,0.9407
1.06,1.04693,1.11962
1.07,1.23004,1.29853
1.08,1.41105,1.47954
1.09,1.59486,1.65916
1.1,1.78426,1.83458
