Wavelength (nm),EQE
325.037,44.48118545724084
334.982,42.35423126219418
345.003,42.72963439086455
355.022,46.54270513381627
365.037,50.4254082015129
374.968,53.6850229184658
384.977,57.614402674318775
394.981,61.846188294929696
404.982,66.30416849187252
414.979,70.7869845614649
424.972,73.66750392003823
434.961,74.234122116325
445.026,74.68148608003366
455.007,74.54597240073832
464.983,73.85871550752928
475.035,74.01274778064652
485.003,73.8170928910935
494.966,73.75093062862443
505.004,73.33148063657296
515.037,73.91540511521535
524.986,73.6286115504669
535.009,74.1596469269544
545.027,74.78755676429702
554.961,74.95801376329001
564.969,75.08717351995186
574.971,75.4567315352121
584.968,75.62763209434884
595.038,75.96780545096479
605.024,76.33123845712772
615.003,76.70394435329528
624.977,76.11552613973065
635.024,75.72877640959132
644.986,75.15779521691496
655.02,75.13806053272582
664.969,74.35207858103199
674.991,73.93714807528374
684.974,74.05703360421803
694.976,73.87594662546633
704.971,73.29079516866096
715.038,73.7105095295426
725.02,73.3794283790491
734.994,72.88240759815518
744.961,72.52930217029177
755.0,72.00901149682657
765.031,70.8458912850325
774.976,66.80961270570026
784.992,53.501781050297666
795.0,29.500974681229938
805.0,10.733496071690032
814.992,3.224586585681993
824.976,0.956290560444274
835.03,0.33056627794981297
844.998,0.16992363868616722
