Wavelength (nm),Power Measurements (W)
325.037,2.0113641180000006e-08
334.982,5.696332471400001e-08
345.003,1.51355874442e-07
355.022,3.08296921062e-07
365.037,4.908970759099998e-07
374.968,7.201695398440001e-07
384.977,1.1660669553739998e-06
394.981,1.7922282996399997e-06
404.982,2.51339011476e-06
414.979,3.288720706232e-06
424.972,3.6932360206779993e-06
434.961,4.539969336083999e-06
445.026,5.350323143053999e-06
455.007,6.113428657986001e-06
464.983,6.9480421688500025e-06
475.035,7.609067230180001e-06
485.003,8.231176915385998e-06
494.966,8.798648170665997e-06
505.004,9.246477445750002e-06
515.037,9.567764860617999e-06
524.986,9.879596435761999e-06
535.009,1.0104381685643998e-05
545.027,1.0141547550828e-05
554.961,1.0123372109655998e-05
564.969,1.0333730979401999e-05
574.971,1.0389621025508e-05
584.968,1.0397099649683998e-05
595.038,1.0426910228666001e-05
605.024,1.0385041532072e-05
615.003,1.0061245416829998e-05
624.977,9.667602506771999e-06
635.024,9.38645865191e-06
644.986,9.26670559764e-06
655.02,8.963287141994e-06
664.969,8.644019147083998e-06
674.991,8.161796640587998e-06
684.974,7.663248261502001e-06
694.976,8.054519510405999e-06
704.971,8.369375390430001e-06
715.038,8.460560339392003e-06
725.02,8.450449881131997e-06
734.994,8.377468425656e-06
744.961,8.241611865822e-06
755.0,8.060079305363999e-06
765.031,7.825369055526003e-06
774.976,7.5019204864100005e-06
784.992,7.06409502546e-06
795.0,6.720482222701999e-06
805.0,6.586050872008001e-06
814.992,6.379471277349999e-06
824.976,6.195658090807996e-06
835.03,6.117626976369999e-06
844.998,6.125971389631998e-06
