Wavelength (nm),EQE
325.037,52.64296466985483
349.973,70.04196100476766
374.968,85.98237351148533
400.022,110.76002243145845
424.972,122.39714180861878
449.977,130.28881149824184
475.035,136.89417791147795
499.985,139.3705012332265
524.986,141.75170071758717
550.034,144.64797047677027
574.971,145.27786677192574
600.032,146.87752189342368
624.977,147.64206623810608
649.964,148.3203087191939
674.991,147.09269138272987
700.014,148.2896502766426
725.02,149.0803841924799
749.981,149.21942018184836
774.976,149.0331995106087
800.001,149.12973594257656
824.976,148.80114979428515
849.979,148.63327717444895
875.006,147.58997620771126
899.979,145.87832097108
924.973,144.1875717273587
949.986,142.60033829773803
975.016,137.67393113912777
999.983,124.72398023095074
1024.964,100.04105686165552
1050.032,62.45999154375457
1075.031,32.79959565121805
1100.037,17.621791582748855
