Wavelength (nm),Power Measurements (W)
325.037,5.265753770600001e-08
349.973,9.368934129000005e-08
374.968,1.9974311834e-07
400.022,5.1338532668e-07
424.972,8.481270879200002e-07
449.977,1.3033933714000002e-06
475.035,1.6952326997999998e-06
499.985,2.0319814986000002e-06
524.986,2.22456375e-06
550.034,2.2818983824000003e-06
574.971,2.3664887248e-06
600.032,2.4089107e-06
624.977,2.2139550853999994e-06
649.964,2.1109708954e-06
674.991,1.8662647495999998e-06
700.014,1.9783095036000005e-06
725.02,2.0360343984e-06
749.981,1.9605004304e-06
774.976,1.7954419399999999e-06
800.001,1.5726593912000001e-06
824.976,1.459314292e-06
849.979,1.4672279485999999e-06
875.006,1.6105242756000004e-06
899.979,1.8693450153999996e-06
924.973,2.111155845e-06
949.986,2.3115612795999995e-06
975.016,2.4104106436e-06
999.983,2.4185882288000003e-06
1024.964,2.3615205925999995e-06
1050.032,2.2876222374000003e-06
1075.031,2.2410506378e-06
1100.037,2.1532411756e-06
