Wavelength (nm),Current (A)
325.037,0.016773646206
334.982,0.022039235782
345.003,0.044902816504
355.022,0.09222698803199998
365.037,0.1571158744
374.968,0.2466503566800001
384.977,0.42729804644
394.981,0.7192419679000003
404.982,1.1003705189999997
414.979,1.5703880518000006
424.972,1.8746916983999995
434.961,2.3797290988000004
445.026,2.8764120392000008
455.007,3.3441252800000005
464.983,3.8752932834
475.035,4.3161139633999985
485.003,4.7750228639999985
494.966,5.1627829884
505.004,5.553610729999999
515.037,5.862969345199999
524.986,6.165255827599999
535.009,6.473104976799999
545.027,6.655012307
554.961,6.772963585400001
564.969,7.084772229599999
574.971,7.275514836200001
584.968,7.432705054
595.038,7.6552823602
605.024,7.775952506000002
615.003,7.648892979399998
624.977,7.4266204684
635.024,7.306277326600001
644.986,7.266836371400002
655.02,7.1504500724
664.969,6.8967187068
674.991,6.5872148557999965
684.974,6.272534708800001
694.976,6.671313099
704.971,7.003734793800001
715.038,7.2003406476
725.02,7.2594757977999995
734.994,7.2384199668
744.961,7.180947632800001
755.0,7.079901757199999
765.031,6.864042649400001
774.976,6.282360005400002
784.992,4.7655879258
795.0,2.5504584596
805.0,0.9225386697999999
814.992,0.27146876698
824.976,0.078789350338
835.03,0.02735002572799999
844.998,0.014283284484
