Wavelength (nm),Current (A)
325.037,0.01669599364
334.982,0.022094267553999996
345.003,0.045844812568
355.022,0.092684067434
365.037,0.15794089888
374.968,0.24782284036
384.977,0.4289559496599999
394.981,0.7221191234799998
404.982,1.1038134294
414.979,1.574626501
424.972,1.8735792418000006
434.961,2.3769192406
445.026,2.8710883142000005
455.007,3.3369547558000003
464.983,3.8653904668000005
475.035,4.304054980000001
485.003,4.7701464499999995
494.966,5.157719931399999
505.004,5.550751805400003
515.037,5.853432622000001
524.986,6.150288881399999
535.009,6.4545984023999985
545.027,6.634143471600001
554.961,6.7518996088000005
564.969,7.065066217999999
574.971,7.257334999999999
584.968,7.416786073999999
595.038,7.640516734199999
605.024,7.762869695599999
615.003,7.6368776266
624.977,7.413557763200004
635.024,7.288278507799999
644.986,7.2469039684
655.02,7.1312455702000035
664.969,6.878189091800002
674.991,6.570287317799998
684.974,6.231036162400001
694.976,6.628392214199998
704.971,6.967839827000002
715.038,7.1669976184
725.02,7.2322805728000015
734.994,7.214260773399999
744.961,7.156711334800001
755.0,7.056157983999999
765.031,6.833528895400001
774.976,6.251627010800002
784.992,4.736630463399997
795.0,2.5304002954
805.0,0.9113105364000004
814.992,0.26782961791999993
824.976,0.07776832873200001
835.03,0.027315196538
844.998,0.014053815947999997
