Wavelength (nm),EQE
325.004,488.27379934966035
335.028,319.9697419261919
344.968,156.67060871934834
354.986,81.41518274535306
365.0,58.44837091704819
375.011,44.925608854136684
385.018,44.53453511293449
395.021,39.83401159755722
405.021,36.91308885617986
415.017,35.72191965771344
425.009,31.380515668818486
434.997,31.7631614078945
444.981,31.336735173994544
454.961,32.48127898950832
465.016,33.1462939603765
474.987,34.262094362637825
485.034,34.543657962153105
494.996,34.75476115461361
505.033,34.9751498104205
514.985,35.1673246857424
525.013,35.31840687210523
535.035,35.61584071479482
544.972,35.585580828959756
554.984,36.59394807695491
564.991,36.90341732365912
574.992,36.55986562582029
584.988,36.484142868683506
594.978,36.322113815196985
604.963,36.88161038009147
615.021,36.98604110320094
624.994,36.75065573642671
635.039,37.07973361790581
645.0,37.199669753625805
655.034,37.118275288869675
664.982,36.67821937447725
675.003,36.621889122258665
684.984,36.88565937498602
694.985,36.8218681263988
704.979,36.96621777151243
714.967,36.867233152140436
725.026,36.97681302883859
734.999,36.96944840598956
744.965,37.10165825393298
755.003,37.04373126793385
765.033,37.272029456615996
774.977,37.15886034460209
784.992,37.22487790390833
794.999,37.36818370763225
804.998,37.5021425458564
814.989,37.28026848578568
824.972,37.234484496893906
835.025,37.162503167203155
844.992,37.09993016571714
