Wavelength (nm),Background Light (W)
325.0,6.530268279799998e-08
335.0,6.024826774199999e-08
345.0,5.809254467599998e-08
355.0,5.7296643812e-08
365.0,5.6992595819999996e-08
375.0,5.5091026062e-08
385.0,5.1783608104000005e-08
395.0,4.8802511967999995e-08
405.0,4.6602004742000025e-08
415.0,4.5077202895999994e-08
425.0,4.3904329487999996e-08
435.0,4.2932818477999995e-08
445.0,4.207299809599999e-08
455.0,4.1207921548e-08
465.0,4.040614698000001e-08
475.0,3.9513973036e-08
485.0,3.8646909460000005e-08
495.0,3.7824547197999994e-08
505.0,3.7062140676e-08
515.0,3.623210375199999e-08
525.0,3.5452938151999996e-08
535.0,3.467227777000001e-08
545.0,3.3857184012e-08
555.0,3.3127589148000004e-08
565.0,3.2323155496000005e-08
575.0,3.1645252610000006e-08
585.0,3.095913370599999e-08
595.0,3.034591410599999e-08
605.0,2.9711207834000006e-08
615.0,2.9165910360000003e-08
625.0,2.8597767224e-08
635.0,2.8049011352000002e-08
645.0,2.7551025439999997e-08
655.0,2.7105596099999997e-08
665.0,2.6829389308e-08
675.0,2.6548578937999997e-08
685.0,2.6089089102000003e-08
695.0,2.5650383964e-08
705.0,2.5247333882000007e-08
715.0,2.4818779914000005e-08
725.0,2.4442958838e-08
735.0,2.4058311782000003e-08
745.0,2.3652978711999997e-08
755.0,2.3276674747999995e-08
765.0,2.2902921482e-08
775.0,2.2572111751999994e-08
785.0,2.2230839891999998e-08
795.0,2.1885981953999996e-08
805.0,2.1548962500000006e-08
815.0,2.1224691014000003e-08
825.0,2.0899361952000003e-08
835.0,2.0588578638000004e-08
845.0,2.0255860076000003e-08
