Wavelength (nm),Current (A)
349.987,3.805054453399999e-09
359.993,7.209176262e-09
369.995,1.1371242383000002e-08
379.994,1.8243530501499995e-08
389.989,3.162539059249999e-08
399.981,4.925791773849999e-08
409.968,7.072487669000005e-08
420.032,9.473651496999998e-08
430.012,1.08106834775e-07
439.988,1.30567181955e-07
450.039,1.5366292129e-07
460.007,1.78745132565e-07
469.97,2.0180824109999995e-07
480.008,2.2405549454e-07
489.962,2.4476389427e-07
499.991,2.6526812004500006e-07
510.016,2.8339900613000013e-07
520.035,2.990238068e-07
529.97,3.174343674049999e-07
539.979,3.3529352735999987e-07
549.984,3.4448108908499997e-07
559.983,3.591966552550001e-07
569.976,3.727232587099999e-07
579.965,3.7654738759499995e-07
590.026,3.8280313751500007e-07
600.003,3.8901676272999997e-07
609.975,3.824673843250001e-07
620.019,3.693121879100001e-07
629.978,3.613378486549999e-07
640.011,3.592112564649998e-07
650.037,3.5525337102000004e-07
659.978,3.442862172199998e-07
669.991,3.288583521450001e-07
679.998,3.148480767949999e-07
689.98,2.3548215388500008e-07
699.976,2.452838914399999e-07
709.965,2.5041991757999994e-07
720.026,2.49328272575e-07
730.001,2.440619351800001e-07
739.969,2.3700208113499998e-07
750.008,2.2933553931999992e-07
759.961,2.1865830826500003e-07
769.986,1.95796371355e-07
780.002,1.3818010210500001e-07
790.011,6.515156078500002e-08
800.013,2.5690644923000004e-08
810.006,8.369169837000002e-09
819.991,3.00717706725e-09
829.968,1.2952688487e-09
840.015,7.605373582999999e-10
849.976,6.053326613499999e-10
