Wavelength (nm),Current (A)
349.987,3.4231982948499998e-09
359.993,6.590262558999996e-09
369.995,1.0518515203500002e-08
379.994,1.680044224049999e-08
389.989,2.912273002199999e-08
399.981,4.5408348624e-08
409.968,6.511489827e-08
420.032,8.722229615500002e-08
430.012,9.913643604999999e-08
439.988,1.19742380355e-07
450.039,1.4104776914499999e-07
460.007,1.6368210958e-07
469.97,1.8469930242000003e-07
480.008,2.0461312222499998e-07
489.962,2.23350874635e-07
499.991,2.4158261154e-07
510.016,2.5807371638999987e-07
520.035,2.7218065452499995e-07
529.97,2.8865299675999994e-07
539.979,3.047265121800001e-07
549.984,3.1382203386499995e-07
559.983,3.263792729300001e-07
569.976,3.4042918948500006e-07
579.965,3.4531923531499996e-07
590.026,3.514630119650001e-07
600.003,3.5885980842500007e-07
609.975,3.5458330700999993e-07
620.019,3.4284723759e-07
629.978,3.3575899434000023e-07
640.011,3.347682532999999e-07
650.037,3.3182286000000007e-07
659.978,3.2186496878e-07
669.991,3.074905891299999e-07
679.998,2.949743613899999e-07
689.98,2.2007496642499997e-07
699.976,2.2921418638499997e-07
709.965,2.3443429443999995e-07
720.026,2.3396768686499997e-07
730.001,2.2947977804999996e-07
739.969,2.2314092752e-07
750.008,2.16202058295e-07
759.961,2.0698747636e-07
769.986,1.8660373721499983e-07
780.002,1.3196163199999994e-07
790.011,6.165764668999998e-08
800.013,2.3890300132000004e-08
810.006,7.875668114499999e-09
819.991,2.87254178845e-09
829.968,1.2523109124000003e-09
840.015,7.530122691499999e-10
849.976,6.059614640999998e-10
