Wavelength (nm),Power (W)
349.987,9.365510971250012e-08
359.993,1.1760383665500004e-07
369.995,1.44167618625e-07
379.994,1.8530559104e-07
389.989,2.620302882500001e-07
399.981,3.5585992851499996e-07
409.968,4.5573825075999987e-07
420.032,5.606846114700002e-07
430.012,6.124258223499998e-07
439.988,7.128152463999999e-07
450.039,8.111292242850004e-07
460.007,9.16988938155e-07
469.97,1.015716779675e-06
480.008,1.09705544807e-06
489.962,1.17418802835e-06
499.991,1.235069041795e-06
510.016,1.2790386532499995e-06
520.035,1.3109510865999996e-06
529.97,1.3520204253999999e-06
539.979,1.3835950084499997e-06
549.984,1.3834837256499999e-06
559.983,1.3948453744500009e-06
569.976,1.4069002057500003e-06
579.965,1.387681430199999e-06
590.026,1.4306086998500003e-06
600.003,1.4275915368999997e-06
609.975,1.3912836152500006e-06
620.019,1.3258593532500006e-06
629.978,1.286386661955001e-06
640.011,1.2611033320650001e-06
650.037,1.2316748944599996e-06
659.978,1.1805893901850005e-06
669.991,1.1152374227050003e-06
679.998,1.0563497927899998e-06
689.98,7.623673946049997e-07
699.976,7.833550122950001e-07
709.965,7.917461426049997e-07
720.026,7.866568461000003e-07
730.001,7.710171524800001e-07
739.969,7.563678380350001e-07
750.008,7.389922973100004e-07
759.961,7.203475692799999e-07
769.986,6.946535691500002e-07
780.002,6.547741148299997e-07
790.011,6.195645869400002e-07
800.013,5.9023692843e-07
810.006,5.721647470050001e-07
819.991,5.49277097005e-07
829.968,5.395130624299999e-07
840.015,5.351856331849997e-07
849.976,5.422158105650005e-07
