Wavelength (nm),Power (W)
349.987,9.318166342100001e-08
359.993,1.1824909835000008e-07
369.995,1.44957838595e-07
379.994,1.8660131290999998e-07
389.989,2.6405363263499993e-07
399.981,3.5842097021000014e-07
409.968,4.5856772473500004e-07
420.032,5.629903428650002e-07
430.012,6.1431444153e-07
439.988,7.155200250949999e-07
450.039,8.138475305600005e-07
460.007,9.1930884666e-07
469.97,1.0158487560949993e-06
480.008,1.0978568686349996e-06
489.962,1.1741133193899996e-06
499.991,1.23929589753e-06
510.016,1.2839260459500008e-06
520.035,1.3103447038999994e-06
529.97,1.3528224977000003e-06
539.979,1.3841489458999994e-06
549.984,1.3810130764000005e-06
559.983,1.3906073111499998e-06
569.976,1.4006422015500008e-06
579.965,1.3815702959500001e-06
590.026,1.433656152900001e-06
600.003,1.4298410310000003e-06
609.975,1.3914158721500008e-06
620.019,1.32459699845e-06
629.978,1.2840256207599993e-06
640.011,1.259926154885e-06
650.037,1.231671968895e-06
659.978,1.1799367288700008e-06
669.991,1.1185463141550007e-06
679.998,1.0560815745850006e-06
689.98,7.653511928950003e-07
699.976,7.842371229499999e-07
709.965,7.926893718449993e-07
720.026,7.892686335249997e-07
730.001,7.741632225249996e-07
739.969,7.592031434349995e-07
750.008,7.4121823047e-07
759.961,7.210247795650005e-07
769.986,6.932365883499997e-07
780.002,6.560183223200002e-07
790.011,6.1860965841e-07
800.013,5.907542805650001e-07
810.006,5.758266092750002e-07
819.991,5.506789111000001e-07
829.968,5.410192768599999e-07
840.015,5.377500106199997e-07
849.976,5.438267208849999e-07
