Voltage (V),Forward Scan (mA),Reverse Scan (mA)
-0.2,-1.51375,-1.49279
-0.19,-1.51305,-1.49139
-0.18,-1.51375,-1.4872
-0.17,-1.51096,-1.4858
-0.16,-1.51096,-1.48021
-0.15,-1.50886,-1.48091
-0.14,-1.50537,-1.47531
-0.13,-1.50187,-1.47322
-0.12,-1.50117,-1.47601
-0.11,-1.50117,-1.47112
-0.1,-1.49978,-1.46693
-0.09,-1.49558,-1.46483
-0.08,-1.49418,-1.46204
-0.07,-1.49279,-1.45994
-0.06,-1.49069,-1.45924
-0.05,-1.4865,-1.45575
-0.04,-1.4872,-1.45575
-0.03,-1.483,-1.45644
-0.02,-1.4816,-1.45015
-0.01,-1.4809,-1.45085
0.0,-1.47531,-1.44456
0.01,-1.47461,-1.44177
0.02,-1.47322,-1.43827
0.03,-1.47042,-1.43897
0.04,-1.46972,-1.43618
0.05,-1.46483,-1.43198
0.06,-1.46483,-1.42779
0.07,-1.46343,-1.42919
0.08,-1.46134,-1.42639
0.09,-1.46203,-1.4194
0.1,-1.45994,-1.4201
0.11,-1.45435,-1.41521
0.12,-1.45085,-1.41381
0.13,-1.45085,-1.41242
0.14,-1.44876,-1.40682
0.15,-1.44876,-1.40682
0.16,-1.44666,-1.39844
0.17,-1.44247,-1.39774
0.18,-1.44037,-1.39634
0.19,-1.43338,-1.39494
0.2,-1.43338,-1.39005
0.21,-1.43338,-1.38586
0.22,-1.43059,-1.38306
0.23,-1.42919,-1.38236
0.24,-1.4236,-1.38027
0.25,-1.4194,-1.37398
0.26,-1.41381,-1.37188
0.27,-1.41661,-1.37048
0.28,-1.41172,-1.36978
0.29,-1.40892,-1.3621
0.3,-1.40752,-1.3614
0.31,-1.40473,-1.3607
0.32,-1.40193,-1.3572
0.33,-1.39844,-1.35301
0.34,-1.39285,-1.34882
0.35,-1.39215,-1.34672
0.36,-1.38865,-1.34113
0.37,-1.38656,-1.33694
0.38,-1.38306,-1.33344
0.39,-1.38236,-1.33205
0.4,-1.37957,-1.32645
0.41,-1.37468,-1.32506
0.42,-1.37468,-1.32296
0.43,-1.36769,-1.31318
0.44,-1.36419,-1.31108
0.45,-1.36489,-1.30688
0.46,-1.3607,-1.30269
0.47,-1.35581,-1.2978
0.48,-1.35371,-1.29081
0.49,-1.34952,-1.28592
0.5,-1.34532,-1.28312
0.51,-1.34323,-1.27474
0.52,-1.33554,-1.26705
0.53,-1.33414,-1.26426
0.54,-1.32925,-1.25447
0.55,-1.32715,-1.24678
0.56,-1.32436,-1.2349
0.57,-1.32016,-1.22442
0.58,-1.31527,-1.21324
0.59,-1.30689,-1.19926
0.6,-1.30409,-1.18878
0.61,-1.2999,-1.1727
0.62,-1.29081,-1.16222
0.63,-1.28732,-1.14265
0.64,-1.28662,-1.12797
0.65,-1.28033,-1.10841
0.66,-1.27264,-1.09513
0.67,-1.26565,-1.07137
0.68,-1.25517,-1.0511
0.69,-1.24329,-1.02454
0.7,-1.23211,-0.99729
0.71,-1.22372,-0.96793
0.72,-1.21184,-0.93648
0.73,-1.19507,-0.90643
0.74,-1.1769,-0.87568
0.75,-1.15663,-0.84214
0.76,-1.13217,-0.80929
0.77,-1.1112,-0.77574
0.78,-1.08115,-0.7429
0.79,-1.0504,-0.70656
0.8,-1.00917,-0.66672
0.81,-0.96094,-0.62409
0.82,-0.91692,-0.57726
0.83,-0.86171,-0.53673
0.84,-0.79601,-0.48851
0.85,-0.73451,-0.4326
0.86,-0.65833,-0.37669
0.87,-0.57447,-0.31239
0.88,-0.492,-0.246
0.89,-0.40185,-0.17402
0.9,-0.3082,-0.09854
0.91,-0.20197,-0.02027
0.92,-0.09994,0.07268
0.93,0.00629,0.15794
0.94,0.123,0.26068
0.95,0.23692,0.35992
0.96,0.36131,0.46824
0.97,0.47733,0.57726
0.98,0.60312,0.69467
0.99,0.72752,0.81068
1.0,0.85681,0.93159
1.01,0.99029,1.05389
1.02,1.11469,1.18108
1.03,1.24887,1.30897
1.04,1.37816,1.43058
1.05,1.51025,1.56616
1.06,1.64303,1.69894
1.07,1.77302,1.82334
1.08,1.9079,1.95542
1.09,2.04418,2.08751
1.1,2.17906,2.2126
