Voltage (V),Forward Scan (mA),Reverse Scan (mA)
-0.2,-1.52284,-1.4858
-0.19,-1.52004,-1.4851
-0.18,-1.52214,-1.4858
-0.17,-1.52004,-1.48021
-0.16,-1.51725,-1.47462
-0.15,-1.51375,-1.47531
-0.14,-1.51375,-1.47112
-0.13,-1.50746,-1.46972
-0.12,-1.51026,-1.46833
-0.11,-1.51095,-1.46483
-0.1,-1.50327,-1.46483
-0.09,-1.50117,-1.46134
-0.08,-1.49977,-1.46204
-0.07,-1.49908,-1.46064
-0.06,-1.49908,-1.45994
-0.05,-1.49628,-1.45505
-0.04,-1.49348,-1.45644
-0.03,-1.49209,-1.45085
-0.02,-1.49139,-1.45085
-0.01,-1.48999,-1.45015
0.0,-1.4851,-1.44386
0.01,-1.4816,-1.44666
0.02,-1.4802,-1.44387
0.03,-1.4823,-1.43897
0.04,-1.47881,-1.43618
0.05,-1.47462,-1.43827
0.06,-1.47601,-1.43688
0.07,-1.47531,-1.43478
0.08,-1.47112,-1.42919
0.09,-1.46902,-1.42919
0.1,-1.46763,-1.4236
0.11,-1.46623,-1.4215
0.12,-1.46623,-1.4222
0.13,-1.46273,-1.4215
0.14,-1.46064,-1.41731
0.15,-1.46203,-1.41661
0.16,-1.45714,-1.4187
0.17,-1.45574,-1.40892
0.18,-1.45505,-1.41172
0.19,-1.45225,-1.40822
0.2,-1.44806,-1.40543
0.21,-1.44526,-1.40263
0.22,-1.44876,-1.40333
0.23,-1.44596,-1.39984
0.24,-1.44107,-1.39774
0.25,-1.44037,-1.39634
0.26,-1.43618,-1.39215
0.27,-1.43338,-1.39215
0.28,-1.43198,-1.38586
0.29,-1.43059,-1.38656
0.3,-1.4243,-1.38306
0.31,-1.42639,-1.38167
0.32,-1.42709,-1.37607
0.33,-1.4201,-1.37328
0.34,-1.41731,-1.37188
0.35,-1.41871,-1.37118
0.36,-1.418,-1.36629
0.37,-1.41241,-1.36419
0.38,-1.41032,-1.3614
0.39,-1.40892,-1.3572
0.4,-1.40543,-1.35441
0.41,-1.40123,-1.35301
0.42,-1.39844,-1.34812
0.43,-1.39564,-1.34672
0.44,-1.39355,-1.34323
0.45,-1.39355,-1.33694
0.46,-1.38726,-1.33554
0.47,-1.38516,-1.33065
0.48,-1.38446,-1.32156
0.49,-1.37887,-1.32016
0.5,-1.37677,-1.31387
0.51,-1.37398,-1.30619
0.52,-1.37048,-1.2999
0.53,-1.36769,-1.29221
0.54,-1.36419,-1.28802
0.55,-1.3607,-1.28103
0.56,-1.3572,-1.26915
0.57,-1.35511,-1.26076
0.58,-1.34742,-1.24888
0.59,-1.34183,-1.2363
0.6,-1.33764,-1.22442
0.61,-1.33274,-1.21114
0.62,-1.32855,-1.19646
0.63,-1.32645,-1.17969
0.64,-1.31877,-1.16152
0.65,-1.30968,-1.14964
0.66,-1.30758,-1.12797
0.67,-1.30199,-1.10771
0.68,-1.28941,-1.08954
0.69,-1.28452,-1.06018
0.7,-1.27544,-1.02734
0.71,-1.26495,-1.00078
0.72,-1.24958,-0.97003
0.73,-1.2335,-0.94138
0.74,-1.21603,-0.91202
0.75,-1.19507,-0.87918
0.76,-1.1755,-0.84144
0.77,-1.14894,-0.81069
0.78,-1.12238,-0.77435
0.79,-1.08604,-0.7422
0.8,-1.04411,-0.69817
0.81,-0.99938,-0.65903
0.82,-0.95046,-0.61221
0.83,-0.89385,-0.56818
0.84,-0.83794,-0.52136
0.85,-0.76666,-0.46614
0.86,-0.69467,-0.40604
0.87,-0.6171,-0.34594
0.88,-0.53883,-0.27745
0.89,-0.44588,-0.20547
0.9,-0.35642,-0.1251
0.91,-0.25229,-0.04193
0.92,-0.15165,0.04752
0.93,-0.03983,0.14047
0.94,0.07129,0.24041
0.95,0.1845,0.34035
0.96,0.30261,0.45217
0.97,0.42002,0.56468
0.98,0.53673,0.6758
0.99,0.66742,0.79531
1.0,0.79321,0.91761
1.01,0.91691,1.03781
1.02,1.0476,1.16431
1.03,1.17898,1.2908
1.04,1.30758,1.41939
1.05,1.43686,1.54659
1.06,1.57244,1.67727
1.07,1.70593,1.81146
1.08,1.845,1.93655
1.09,1.97709,2.06514
1.1,2.11616,2.18884
