Wavelength (nm),Power Measurements (W)
325.037,6.87036352794999e-08
334.982,6.901297937099997e-08
345.003,7.860695223149999e-08
355.022,9.787074733650001e-08
365.037,1.2003934811500002e-07
374.968,1.4639351927999993e-07
384.977,2.0187136281499992e-07
394.981,2.811807777899999e-07
404.982,3.6968397532000003e-07
414.979,4.671237269549999e-07
424.972,5.125530332000003e-07
434.961,6.2402988333e-07
445.026,7.323494164999998e-07
455.007,8.178336119800001e-07
464.983,9.339063539150001e-07
475.035,1.0128648835099999e-06
485.003,1.0923240628e-06
494.966,1.1632437437900002e-06
505.004,1.2235088297599994e-06
515.037,1.2529032531899998e-06
524.986,1.2918153659e-06
535.009,1.3195604555500001e-06
545.027,1.3151810662999994e-06
554.961,1.3029460748999997e-06
564.969,1.4079136764000007e-06
574.971,1.3929480076999986e-06
584.968,1.4054828980000006e-06
595.038,1.4220595691500007e-06
605.024,1.4172783436499994e-06
615.003,1.364305971229999e-06
624.977,1.3115128359799997e-06
635.024,1.280638015615e-06
644.986,1.2582959653699996e-06
655.02,1.2296846049749998e-06
664.969,1.1708502341900003e-06
674.991,1.1088998073100004e-06
684.974,1.05916716019e-06
694.976,1.1538984706200002e-06
704.971,1.191994259285e-06
715.038,1.2151466220799992e-06
725.02,1.2075314361299998e-06
734.994,1.1930208028149993e-06
744.961,1.1762586248250005e-06
755.0,1.1481973253699995e-06
765.031,1.1153151596300006e-06
774.976,1.0617049969250003e-06
784.992,9.875101834499999e-07
795.0,9.441375600400005e-07
805.0,9.243177190449998e-07
814.992,8.941407226099994e-07
824.976,8.631459142750001e-07
835.03,8.534676291799997e-07
844.998,8.602564620250003e-07
