Wavelength (nm),Power (W)
325.037,6.630109421049999e-08
334.982,6.747215963050002e-08
345.003,7.807373769600002e-08
355.022,9.77536614815e-08
365.037,1.1975526348000005e-07
374.968,1.4622686760799993e-07
384.977,2.0265621527999995e-07
394.981,2.8140387057499993e-07
404.982,3.6944126224e-07
414.979,4.6631632688e-07
424.972,5.14737106515e-07
434.961,6.234385885849996e-07
445.026,7.327150356500002e-07
455.007,8.120302506749997e-07
464.983,9.343595584949997e-07
475.035,1.0100885222699997e-06
485.003,1.0948171639299998e-06
494.966,1.1606865745199998e-06
505.004,1.2164608869499999e-06
515.037,1.235488830245e-06
524.986,1.3261267370500001e-06
535.009,1.3521045070449998e-06
545.027,1.350985931465e-06
554.961,1.3401171333150002e-06
564.969,1.3908282388850004e-06
574.971,1.3916235150500002e-06
584.968,1.4055268883900007e-06
595.038,1.4245885863650007e-06
605.024,1.4257691496500006e-06
615.003,1.362721885354999e-06
624.977,1.3163914790299997e-06
635.024,1.281720930484999e-06
644.986,1.2670060074700001e-06
655.02,1.225220761235e-06
664.969,1.1710448799500001e-06
674.991,1.100299582585e-06
684.974,1.1049193346749995e-06
694.976,1.1514496460500001e-06
704.971,1.1892820585700001e-06
715.038,1.2036661878349994e-06
725.02,1.20676172222e-06
734.994,1.2007280204799994e-06
744.961,1.180073338115001e-06
755.0,1.1460639974699994e-06
765.031,1.121155662245e-06
774.976,1.06459714109e-06
784.992,9.859760764499996e-07
795.0,9.427465169949999e-07
805.0,9.231674686600004e-07
814.992,8.906871681100005e-07
824.976,8.584825871199996e-07
835.03,8.5882998544e-07
844.998,8.6324995584e-07
