Wavelength (nm),Power (W)
325.037,1.4559782901999997e-06
334.982,1.9895856086e-06
345.003,2.6282075031999996e-06
355.022,3.4214943844000026e-06
365.037,4.335514704199999e-06
374.968,5.5381981834e-06
384.977,7.131300390399998e-06
394.981,9.044348534399997e-06
404.982,1.1214328224000003e-05
414.979,1.3552030522e-05
424.972,1.4316669240000004e-05
434.961,1.7136519315999996e-05
445.026,1.978960332399999e-05
455.007,2.179119159199999e-05
464.983,2.4620506982e-05
475.035,2.6429127534000003e-05
485.003,2.8543109492000005e-05
494.966,3.0134126123999997e-05
505.004,3.166423776e-05
515.037,3.2570256128e-05
524.986,3.359482376400002e-05
535.009,3.447624868799998e-05
545.027,3.4605765024e-05
554.961,3.4424278924e-05
564.969,3.594460720799999e-05
574.971,3.596196016000001e-05
584.968,3.614623411399999e-05
595.038,3.665454977399999e-05
605.024,3.661861890000003e-05
615.003,3.541792917e-05
624.977,3.409947450200001e-05
635.024,3.331694825e-05
644.986,3.3030476606000014e-05
655.02,3.220946862199999e-05
664.969,3.0906994518e-05
674.991,2.9368634282000004e-05
684.974,2.925421602e-05
694.976,3.1083743453999996e-05
704.971,3.2713563852e-05
715.038,3.3710804202000004e-05
725.02,3.414113838599999e-05
734.994,3.430871082400001e-05
744.961,3.4308690516000015e-05
755.0,3.413232028e-05
765.031,3.3684310038e-05
774.976,3.2667437989999986e-05
784.992,3.100122688400001e-05
795.0,3.017244377000001e-05
805.0,3.042540341999998e-05
814.992,2.997159372799999e-05
824.976,2.9474518121999995e-05
835.03,2.9921904242000006e-05
844.998,3.0746844642e-05
