Wavelength (nm),Current (A)
349.974,4.756667885888892e-09
359.991,7.906855662111109e-09
370.005,1.1966475888888882e-08
380.014,1.999605459777778e-08
390.021,3.564268169888889e-08
400.024,5.741260655333334e-08
410.023,8.405434033111116e-08
420.018,1.1526582423333334e-07
430.009,1.3489899019999998e-07
439.996,1.6850055278888887e-07
449.979,2.0428738728888888e-07
460.037,2.4086909693333323e-07
470.012,2.7913007233333323e-07
479.982,3.1387554377777756e-07
490.027,3.4847046105555554e-07
499.987,3.790132103333334e-07
510.023,4.080929898999999e-07
519.974,4.3003127097777793e-07
530.0,4.559143738111111e-07
540.021,4.757285520222221e-07
550.037,4.856696897333332e-07
559.968,5.008973576555556e-07
569.973,5.233854849999999e-07
579.972,5.331397834888887e-07
589.966,5.500551096222223e-07
600.034,5.677585495444447e-07
610.017,5.695947536e-07
619.993,5.569714927333333e-07
629.964,5.461940621888891e-07
640.008,5.462546295222224e-07
649.967,5.472389994444444e-07
659.998,5.364846738111115e-07
670.023,5.152408758222223e-07
679.963,4.94124975188889e-07
690.018,5.20807683111111e-07
700.016,5.555432828777777e-07
710.008,5.841007655999999e-07
719.993,6.005511781333331e-07
729.971,6.061316495999999e-07
740.021,6.071220212222221e-07
749.984,6.063218095555556e-07
760.019,6.019298961555551e-07
769.968,5.902040231888888e-07
779.988,5.627741262333333e-07
790.0,5.396508439222219e-07
800.004,5.251964346333332e-07
810.0,5.226482365111114e-07
819.988,5.091924021555557e-07
829.969,5.05153581277778e-07
840.019,5.085077942222224e-07
849.982,5.214652432222222e-07
