Wavelength (nm),Power Measurements (W)
325.037,2.541679900800001e-08
334.982,3.9057325904e-08
345.003,9.026430092e-08
355.022,1.7735334173999996e-07
365.037,2.764158524e-07
374.968,4.051631151800002e-07
384.977,6.496659990400001e-07
394.981,9.9834614832e-07
404.982,1.3861969911999999e-06
414.979,1.8113223586000012e-06
424.972,2.280275262e-06
434.961,2.762150703e-06
445.026,3.2233221916000003e-06
455.007,3.6925943418000003e-06
464.983,4.139860939399999e-06
475.035,4.5544075328e-06
485.003,4.925161283399999e-06
494.966,5.269691110199999e-06
505.004,5.532614359199999e-06
515.037,5.7702323926e-06
524.986,5.997372863600001e-06
535.009,6.126865291600001e-06
545.027,6.2191192038e-06
554.961,6.215522152999998e-06
564.969,6.376483925199998e-06
574.971,6.482314984200001e-06
584.968,6.540693566600003e-06
595.038,6.549364834000001e-06
605.024,6.466988298000002e-06
615.003,6.345153378800001e-06
624.977,6.217888603799999e-06
635.024,5.9951745426e-06
644.986,5.822759130400002e-06
655.02,5.557305457600001e-06
664.969,5.389019142399998e-06
674.991,5.163583082200001e-06
684.974,5.073087086399999e-06
694.976,5.288044457000001e-06
704.971,5.4300788632e-06
715.038,5.552385646200001e-06
725.02,5.5863295984e-06
734.994,5.544207615399998e-06
744.961,5.486816480599999e-06
755.0,5.323960685599998e-06
765.031,5.1481080213999995e-06
774.976,4.905361529800002e-06
784.992,4.6270077474000005e-06
795.0,4.4715167496e-06
805.0,4.362178815599999e-06
814.992,4.2300219857999995e-06
824.976,4.144247614000001e-06
835.03,4.122537920999999e-06
844.998,4.1749503271999995e-06
