Wavelength (nm),Power Measurements (W)
325.004,2.0275039069999997e-09
335.028,2.5558756172000007e-09
344.968,4.970086173599999e-09
354.986,9.627002129999998e-09
365.0,1.5299392836e-08
375.011,2.2538498979999994e-08
385.018,3.7179524964e-08
395.021,6.147122519599999e-08
405.021,9.053355995000002e-08
415.017,1.2418806312e-07
425.009,1.4412650684000002e-07
434.997,1.8420181260000003e-07
444.981,2.226979309000001e-07
454.961,2.6092874596e-07
465.016,3.040450204999999e-07
474.987,3.425205802600002e-07
485.034,3.8148736098e-07
494.996,4.163707832199998e-07
505.033,4.4997375872000005e-07
514.985,4.781837059600003e-07
525.013,5.030234592999997e-07
535.035,5.307966865200001e-07
544.972,5.489109470200003e-07
554.984,5.611539063600001e-07
564.991,5.842426617799998e-07
574.992,6.078556816000001e-07
584.988,6.2039148814e-07
594.978,6.3664703014e-07
604.963,6.501991287000001e-07
615.021,6.442430730400002e-07
624.994,6.280918911400001e-07
635.039,6.202250074400001e-07
645.0,6.2066233568e-07
655.034,6.154194146400001e-07
664.982,5.959535019400001e-07
675.003,5.6897605182e-07
684.984,5.565843707400002e-07
694.985,5.930090173600001e-07
704.979,6.278284923000001e-07
714.967,6.524975606199999e-07
725.026,6.640841820200002e-07
734.999,6.671852088200001e-07
744.965,6.662906685000001e-07
755.003,6.630654114600001e-07
765.033,6.540331788200002e-07
774.977,6.3518101116e-07
784.992,6.0133557098e-07
794.999,5.819640909199998e-07
804.998,5.734685714400002e-07
814.989,5.657955149199999e-07
824.972,5.524471771400001e-07
835.025,5.547207707399999e-07
844.992,5.632784110200001e-07
