Wavelength (nm),Power Measurements (W)
374.968,7.70993477314e-07
384.977,1.2201917354620001e-06
394.981,1.8777126164419994e-06
404.982,2.6284734986800007e-06
414.979,3.4424982829660004e-06
424.972,3.871264778735999e-06
434.961,4.795848584530001e-06
445.026,5.6461274620599995e-06
455.007,6.427541251352003e-06
464.983,7.372593220412e-06
475.035,8.048547782921999e-06
485.003,8.748894722370001e-06
494.966,9.350995184206e-06
505.004,9.887156222762e-06
515.037,1.0222102283352e-05
524.986,1.0556083622431996e-05
535.009,1.0811701382822002e-05
545.027,1.0870717008929998e-05
554.961,1.0854462882052e-05
564.969,1.1069206173612e-05
574.971,1.1212656750061998e-05
584.968,1.119421089453e-05
595.038,1.1183856398254e-05
605.024,1.1142231330111999e-05
615.003,1.0798686538038005e-05
624.977,1.0426886981859996e-05
635.024,1.0103352717480001e-05
644.986,9.962700396934e-06
655.02,9.692653232913997e-06
664.969,9.296549664894e-06
674.991,8.785721132948003e-06
684.974,8.686379556019999e-06
694.976,9.052166955686004e-06
704.971,9.334863508506003e-06
715.038,9.439341291832002e-06
725.02,9.43013881799e-06
734.994,9.340221391592002e-06
744.961,9.147632650462e-06
755.0,8.974061178038e-06
765.031,8.716435477815998e-06
774.976,8.354834850356e-06
784.992,7.843879666852e-06
795.0,7.50215065004e-06
805.0,7.299520689939998e-06
814.992,7.096645719625999e-06
824.976,6.8471100847779996e-06
835.03,6.813195440205999e-06
844.998,6.824555253483998e-06
