Wavelength (nm),Power Measurements (W)
325.037,2.041532093e-08
349.973,1.2678654711599992e-07
374.968,4.02111210662e-07
400.022,1.1810517790920002e-06
424.972,2.0457051755200003e-06
449.977,3.22494501272e-06
475.035,4.274949586532e-06
499.985,5.143759662628e-06
524.986,5.654928445355999e-06
550.034,5.879035343893999e-06
574.971,6.087249618422e-06
600.032,6.167502881687998e-06
624.977,5.6926340236699995e-06
649.964,5.409002102736e-06
674.991,4.788853271496e-06
700.014,5.047181525411999e-06
725.02,5.235665110918001e-06
749.981,5.031062507385999e-06
774.976,4.5931367483559995e-06
800.001,4.041151646576e-06
824.976,3.7331501932200005e-06
849.979,3.7328347670899986e-06
