Wavelength (nm),Power (W)
350.016,1.2228983721499995e-07
360.032,1.472027825830001e-07
369.964,1.7452556498399994e-07
379.973,2.1274420876399998e-07
389.978,2.898546272000002e-07
399.98,3.975939473099998e-07
409.978,5.172403519399999e-07
419.972,6.593401110599997e-07
429.962,7.362673542700001e-07
440.028,8.721087942599996e-07
450.01,1.0292734819299997e-06
459.987,1.1832456380100002e-06
469.961,1.3243006702000004e-06
480.009,1.4457429222199997e-06
489.973,1.5872108650899995e-06
500.013,1.6851902283900001e-06
509.968,1.7886379543200005e-06
519.997,1.862747905880001e-06
530.022,1.9270956739900003e-06
539.962,1.9768492706499996e-06
549.977,1.9906590313199997e-06
559.986,2.0078832932900018e-06
569.99,2.072598197100001e-06
579.989,2.087817877769999e-06
589.982,2.0964758358499995e-06
599.969,2.1223490420300004e-06
610.03,2.0985017394600007e-06
620.005,2.031629869659999e-06
629.975,1.9647402412599982e-06
640.018,1.9224344709000016e-06
649.976,1.9044101270400006e-06
660.006,1.8405501637100003e-06
670.03,1.7476870754600003e-06
679.968,1.6499643447499997e-06
690.022,1.658223721939999e-06
700.02,1.7313245940399998e-06
710.01,1.7842375544700002e-06
719.994,1.8113644892700012e-06
729.971,1.8077506280499982e-06
740.02,1.7824159436499989e-06
749.982,1.7597359618599993e-06
760.016,1.7213937435099996e-06
769.964,1.6695562215000001e-06
779.982,1.5842570997100007e-06
789.993,1.494584569730001e-06
799.996,1.4333142422999988e-06
809.991,1.4063366887799997e-06
819.979,1.3598647257400001e-06
830.036,1.31956473522e-06
840.007,1.2975998742799997e-06
849.969,1.3022246969599996e-06
