Wavelength (nm),Current (A)
349.973,5.758587141111113e-09
359.99,1.0867601255000002e-08
370.003,1.7387172489999994e-08
380.013,2.8194171396666647e-08
390.019,4.7661186331111074e-08
400.022,7.328316543555556e-08
410.021,1.0419347267555554e-07
420.016,1.426504806888889e-07
430.007,1.705663390111111e-07
439.994,2.1024880406666678e-07
449.977,2.604343597333335e-07
460.035,3.1105940045555547e-07
470.01,3.5919881948888867e-07
479.98,4.0997587781111107e-07
490.025,4.622796402777777e-07
499.985,5.091064887111109e-07
510.021,5.560415166888891e-07
519.972,5.945719898888888e-07
529.998,6.319316312999999e-07
540.019,6.589281680555552e-07
550.034,6.735612052888883e-07
559.965,6.950312110888884e-07
569.97,7.264457421555555e-07
579.97,7.401513565333333e-07
589.964,7.53142472355555e-07
600.032,7.720652786444444e-07
610.014,7.684396712000002e-07
619.991,7.476229741888886e-07
629.962,7.318110301333334e-07
640.006,7.288723124333329e-07
649.964,7.241616535222223e-07
659.996,7.025801239888888e-07
670.021,6.65530198944444e-07
680.039,6.037335453777779e-07
690.015,4.703269434000003e-07
700.014,2.529384511777778e-07
710.006,1.0026004812666667e-07
719.99,3.357998839222222e-08
729.968,1.0907447059666658e-08
740.018,4.240335613555558e-09
749.981,2.303109628999999e-09
