Wavelength (nm),Current (A)
349.987,3.461455503099999e-09
359.993,6.569445800000001e-09
369.995,1.0345029946499995e-08
379.994,1.65095587255e-08
389.989,2.8621760165999994e-08
399.981,4.47496860675e-08
409.968,6.442968922e-08
420.032,8.656886762000001e-08
430.012,9.9141949235e-08
439.988,1.20052367325e-07
450.039,1.4163496349e-07
460.007,1.64499097815e-07
469.97,1.8604663811499987e-07
480.008,2.0677207540000011e-07
489.962,2.26833165165e-07
499.991,2.46634723645e-07
510.016,2.6524766395499996e-07
520.035,2.8118052172000005e-07
529.97,3.0071532916499985e-07
539.979,3.194285931500001e-07
549.984,3.31273694735e-07
559.983,3.46625742935e-07
569.976,3.621430945400001e-07
579.965,3.6934281301999997e-07
590.026,3.7819457743499997e-07
600.003,3.862439489349999e-07
609.975,3.8378319071000005e-07
620.019,3.728132293199999e-07
629.978,3.6440571117499994e-07
640.011,3.6362247298000006e-07
650.037,3.623463158799999e-07
659.978,3.5187130234999984e-07
669.991,3.3583571026999993e-07
679.998,3.23092089145e-07
689.98,2.435834615199999e-07
699.976,2.5428892876499994e-07
709.965,2.60277698955e-07
720.026,2.6108477853499996e-07
730.001,2.5824028278499994e-07
739.969,2.521762981350001e-07
750.008,2.4381629679e-07
759.961,2.3368600274e-07
769.986,2.13822382675e-07
780.002,1.5522955606999994e-07
790.011,7.291969585999998e-08
800.013,2.710262773100001e-08
810.006,8.612388160500004e-09
819.991,3.0480348273e-09
829.968,1.30843493915e-09
840.015,7.699748810999999e-10
849.976,6.094454735e-10
