Wavelength (nm),Power (W)
350.016,9.711153498350005e-08
360.032,1.3118420899499997e-07
369.964,1.6472773405500003e-07
379.973,2.1423112611999994e-07
389.978,3.114265669649999e-07
399.98,4.3432409824000004e-07
409.978,5.6641373404e-07
419.972,7.084750973100002e-07
429.962,7.830792608699998e-07
440.028,9.090978468550006e-07
450.01,1.0520360830899995e-06
459.987,1.1720885817449993e-06
469.961,1.2949563585499998e-06
480.009,1.3817469617000006e-06
489.973,1.46989591945e-06
500.013,1.5296932322999995e-06
509.968,1.63014356575e-06
519.997,1.6568765012000007e-06
530.022,1.692421175999999e-06
539.962,1.7172417763500008e-06
549.977,1.6965677020999998e-06
559.986,1.6795091616500002e-06
569.99,1.7315915707e-06
579.989,1.7098194155999997e-06
589.982,1.7228606028500012e-06
599.969,1.7363942062500005e-06
610.03,1.6966097538999987e-06
620.005,1.6184521553999997e-06
629.975,1.5504278027999994e-06
640.018,1.509545065100001e-06
649.976,1.4784737436999995e-06
660.006,1.41914741635e-06
670.03,1.3396690664000004e-06
679.968,1.2553668074999998e-06
690.022,1.40582954045e-06
700.02,1.4639099219999996e-06
710.01,1.499827369849999e-06
719.994,1.5088563001499997e-06
729.971,1.48700462615e-06
740.02,1.4548147255999994e-06
749.982,1.4212856485499998e-06
760.016,1.3783618231000006e-06
769.964,1.3242835647500007e-06
779.982,1.23116345714e-06
789.993,1.1561121038700002e-06
799.996,1.1031187162849995e-06
809.991,1.0721447834050003e-06
819.979,1.0259269805900004e-06
830.036,9.949033766650002e-07
840.007,9.838799268600002e-07
849.969,9.915915786799999e-07
