Wavelength (nm),Current (A)
350.016,3.139552391249999e-09
360.032,6.22855365e-09
369.964,9.901124693499994e-09
379.973,1.5567258839999996e-08
389.978,2.7561256115000006e-08
399.98,4.4957451976e-08
409.978,6.753364148999999e-08
419.972,9.465415270500003e-08
429.962,1.1135517705000001e-07
440.028,1.357212509e-07
450.01,1.6350502689499997e-07
459.987,1.87430798055e-07
469.961,2.1457853718999997e-07
480.009,2.3619653653500006e-07
489.973,2.5882805420499995e-07
500.013,2.7756805898000003e-07
509.968,2.9625715254000005e-07
519.997,3.0829609274e-07
530.022,3.237154028450001e-07
539.962,3.356077437250001e-07
549.977,3.3993300652500007e-07
559.986,3.4393863222e-07
569.99,3.6240667174500007e-07
579.989,3.65129406665e-07
589.982,3.7615640281000006e-07
599.969,3.873993983249999e-07
610.03,3.8670350885999997e-07
620.005,3.734888446149999e-07
629.975,3.6101795101000004e-07
640.018,3.5620360946999994e-07
649.976,3.534630274649998e-07
660.006,3.4399105595000024e-07
670.03,3.284964287449999e-07
679.968,3.1284614610499995e-07
690.022,3.532039406099999e-07
700.02,3.735080222999999e-07
710.01,3.8729618403999976e-07
719.994,3.917071673599998e-07
729.971,3.8922917553999994e-07
740.02,3.8394173766500004e-07
749.982,3.775758891100001e-07
760.016,3.6860290835999993e-07
769.964,3.530112373650002e-07
779.982,3.180361831099999e-07
789.993,2.5287363408999986e-07
799.996,1.4409282135999997e-07
809.991,5.4451178719999975e-08
819.979,1.6507250463999997e-08
830.036,4.8838698504e-09
840.007,1.7059945288999994e-09
849.969,8.2664479435e-10
