Wavelength (nm),Power (W)
350.005,9.862876355350001e-08
360.018,1.16016852355e-07
370.028,1.3328421737000004e-07
380.034,1.6177013732500005e-07
390.036,2.1855078229000014e-07
400.035,2.872380976050002e-07
410.031,3.625911533399996e-07
420.022,4.420757133749999e-07
430.009,4.7046720608499984e-07
439.993,5.549290909500002e-07
449.972,6.343751766400002e-07
460.026,7.128469576500001e-07
469.997,7.781473510549996e-07
479.963,8.417654598149997e-07
490.005,8.905399436949998e-07
499.962,9.337704029349997e-07
509.993,9.648344819000001e-07
520.02,9.82526426870001e-07
529.963,1.0081652708699998e-06
539.98,1.0114945137799997e-06
549.992,1.0089030332950005e-06
559.998,1.001371688715e-06
570.0,1.0104954944300002e-06
579.995,1.0052431534200005e-06
589.986,1.0047107729800002e-06
599.97,9.967982197800004e-07
610.028,9.658867321999994e-07
620.001,9.2643847649e-07
629.968,8.993495291600001e-07
640.008,8.802410440750003e-07
649.963,8.606303332950003e-07
659.991,8.248770455849996e-07
670.012,7.803796850649997e-07
680.026,7.385571819350002e-07
690.032,8.066047778249998e-07
700.032,8.332482437350001e-07
710.026,8.430824709950004e-07
720.012,8.397198428100001e-07
729.991,8.26315471435e-07
739.964,8.099856543550001e-07
750.007,7.8591764667e-07
759.965,7.639358307150001e-07
769.994,7.297589843300001e-07
780.015,6.862975840199997e-07
790.028,6.616255933700001e-07
800.034,6.369191987500002e-07
810.032,6.09350867335e-07
820.021,5.84769298665e-07
830.003,5.722083706150002e-07
839.976,5.645619584950002e-07
850.019,5.644997160950001e-07
