Wavelength (nm),Power (W)
350.005,7.917050702350003e-08
360.018,8.649207842649992e-08
370.028,9.221644159299995e-08
380.034,1.0289190367499997e-07
390.036,1.2442821374500006e-07
400.035,1.5074946431499997e-07
410.031,1.8012657609500007e-07
420.022,2.1172691256000006e-07
430.009,2.1859709191999983e-07
439.993,2.5428604104999995e-07
449.972,2.8133607672999995e-07
460.026,3.1227383202999996e-07
469.997,3.3795719034e-07
479.963,3.579866945600002e-07
490.005,3.817752436950003e-07
499.962,3.969644150699999e-07
509.993,4.071776682149999e-07
520.02,4.1436071496e-07
529.963,4.2386887443499995e-07
539.98,4.2368403315499995e-07
549.992,4.1818242281999984e-07
559.998,4.15621711045e-07
570.0,4.165584381399999e-07
579.995,4.162340128750002e-07
589.986,4.1705433446e-07
599.97,4.159686976549998e-07
610.028,4.0287375670000007e-07
620.001,3.8504154418e-07
629.968,3.7404743719499975e-07
640.008,3.662166010050002e-07
649.963,3.575631223949999e-07
659.991,3.4114969051e-07
670.012,3.230932543200001e-07
680.026,3.0537827254000005e-07
690.032,3.3850635065999995e-07
700.032,3.4997898865499993e-07
710.026,3.5424024772499993e-07
720.012,3.5315469260500015e-07
729.991,3.4763095625500003e-07
739.964,3.4031630830999973e-07
750.007,3.3158078865499995e-07
759.965,3.214047958800001e-07
769.994,3.063366424100001e-07
780.015,2.887277777750001e-07
790.028,2.7735817446e-07
800.034,2.6773084448499997e-07
810.032,2.5912209748500026e-07
820.021,2.4748258836999993e-07
830.003,2.4216723959499993e-07
839.976,2.384874197649999e-07
850.019,2.3757756025999997e-07
