Voltage (V),Forward Scan (mA),Reverse Scan (mA)
-0.2,-2.03334,-2.04385
-0.19,-2.03475,-2.04105
-0.18,-2.03615,-2.04035
-0.17,-2.03475,-2.03965
-0.16,-2.03475,-2.03825
-0.15,-2.03334,-2.04035
-0.14,-2.03054,-2.03895
-0.13,-2.03264,-2.04035
-0.12,-2.03615,-2.04175
-0.11,-2.03615,-2.03825
-0.1,-2.03545,-2.03895
-0.09,-2.03264,-2.03825
-0.08,-2.03334,-2.04035
-0.07,-2.03334,-2.04175
-0.06,-2.03194,-2.03965
-0.05,-2.03054,-2.03684
-0.04,-2.03124,-2.03615
-0.03,-2.02984,-2.03685
-0.02,-2.03404,-2.03755
-0.01,-2.03264,-2.03755
0.0,-2.03474,-2.03825
0.01,-2.03264,-2.03404
0.02,-2.03404,-2.03404
0.03,-2.03264,-2.03615
0.04,-2.03124,-2.03615
0.05,-2.03264,-2.03614
0.06,-2.03124,-2.03475
0.07,-2.03404,-2.03755
0.08,-2.03264,-2.03474
0.09,-2.03054,-2.03825
0.1,-2.03054,-2.03474
0.11,-2.02914,-2.03685
0.12,-2.03194,-2.03404
0.13,-2.03124,-2.03685
0.14,-2.03054,-2.03474
0.15,-2.02984,-2.03194
0.16,-2.03054,-2.03474
0.17,-2.02564,-2.03404
0.18,-2.03054,-2.03404
0.19,-2.02774,-2.03194
0.2,-2.02704,-2.03334
0.21,-2.02704,-2.03124
0.22,-2.02704,-2.02984
0.23,-2.02494,-2.02634
0.24,-2.02494,-2.02354
0.25,-2.02214,-2.01723
0.26,-2.01653,-2.01373
0.27,-2.00953,-2.00462
0.28,-2.00462,-1.99412
0.29,-1.99062,-1.98081
0.3,-1.98221,-1.9612
0.31,-1.964,-1.94089
0.32,-1.94159,-1.91287
0.33,-1.91917,-1.89045
0.34,-1.89185,-1.85473
0.35,-1.85613,-1.81551
0.36,-1.82251,-1.77698
0.37,-1.77698,-1.72725
0.38,-1.72795,-1.67892
0.39,-1.68242,-1.62919
0.4,-1.62989,-1.56965
0.41,-1.57386,-1.51502
0.42,-1.51572,-1.45618
0.43,-1.45338,-1.38894
0.44,-1.38754,-1.3224
0.45,-1.3182,-1.25096
0.46,-1.24535,-1.18091
0.47,-1.17601,-1.10527
0.48,-1.10106,-1.02612
0.49,-1.01841,-0.94837
0.5,-0.93506,-0.85941
0.51,-0.85171,-0.77326
0.52,-0.76275,-0.6843
0.53,-0.66749,-0.59255
0.54,-0.57153,-0.49238
0.55,-0.47277,-0.39502
0.56,-0.37051,-0.28926
0.57,-0.26825,-0.1842
0.58,-0.15408,-0.07353
0.59,-0.03991,0.04834
0.6,0.07636,0.16672
0.61,0.20454,0.28859
0.62,0.32851,0.42167
0.63,0.4672,0.55825
0.64,0.60168,0.69623
0.65,0.75157,0.84122
0.66,0.90006,0.99321
0.67,1.05765,1.15291
0.68,1.22155,1.32311
0.69,1.39526,1.49542
0.7,1.57316,1.67613
0.71,1.75878,1.86174
0.72,1.9556,2.05645
0.73,2.16152,2.26518
0.74,2.37655,2.48021
0.75,2.59578,2.70715
0.76,2.82902,2.93899
0.77,3.07627,3.18483
0.78,3.32912,3.44259
0.79,3.59668,3.70805
0.8,3.87195,3.98892
0.81,4.16613,4.27679
0.82,4.46591,4.58078
0.83,4.7839,4.90227
0.84,5.1117,5.22937
0.85,5.4556,5.57117
0.86,5.81422,5.92909
0.87,6.18474,6.29891
0.88,6.57137,6.67994
0.89,6.96572,7.07918
0.9,7.38317,7.48683
0.91,7.80832,7.91688
0.92,8.24888,8.35045
0.93,8.69716,8.80082
0.94,9.16294,9.25959
0.95,9.63992,9.73448
0.96,10.12882,10.21987
0.97,10.63031,10.71717
0.98,11.14092,11.22287
0.99,11.65923,11.74048
1.0,12.19436,12.26579
1.01,12.73928,12.80443
1.02,13.29122,13.35005
1.03,13.84595,13.90338
1.04,14.41259,14.46301
1.05,14.98693,15.03246
1.06,15.56689,15.60611
1.07,16.15033,16.18816
1.08,16.74009,16.77231
1.09,17.33544,17.36347
1.1,17.93992,17.95813
