Voltage (V),Forward Scan (mA),Reverse Scan (mA)
-0.2,-2.04283,-2.04912
-0.19,-2.04702,-2.05122
-0.18,-2.04563,-2.05331
-0.17,-2.04563,-2.04912
-0.16,-2.04563,-2.05401
-0.15,-2.04772,-2.05611
-0.14,-2.04632,-2.05261
-0.13,-2.04632,-2.05052
-0.12,-2.04563,-2.05121
-0.11,-2.04563,-2.04912
-0.1,-2.04423,-2.04702
-0.09,-2.04632,-2.04772
-0.08,-2.04493,-2.04772
-0.07,-2.04493,-2.04982
-0.06,-2.04772,-2.04982
-0.05,-2.04423,-2.05052
-0.04,-2.04423,-2.04562
-0.03,-2.04423,-2.04981
-0.02,-2.04423,-2.04842
-0.01,-2.04283,-2.04982
0.0,-2.04423,-2.04982
0.01,-2.04283,-2.04562
0.02,-2.04423,-2.04912
0.03,-2.04632,-2.04562
0.04,-2.04912,-2.04982
0.05,-2.04213,-2.04702
0.06,-2.04493,-2.04912
0.07,-2.04493,-2.04842
0.08,-2.04143,-2.04772
0.09,-2.04353,-2.04702
0.1,-2.04213,-2.04702
0.11,-2.04423,-2.04493
0.12,-2.04283,-2.04632
0.13,-2.04423,-2.04283
0.14,-2.04213,-2.04912
0.15,-2.04143,-2.04562
0.16,-2.04213,-2.04562
0.17,-2.04143,-2.04423
0.18,-2.04073,-2.04562
0.19,-2.04283,-2.04003
0.2,-2.03864,-2.03933
0.21,-2.03654,-2.03724
0.22,-2.03724,-2.03584
0.23,-2.03234,-2.03095
0.24,-2.02815,-2.02256
0.25,-2.02326,-2.01906
0.26,-2.01348,-2.00579
0.27,-2.00788,-1.9974
0.28,-1.99391,-1.98202
0.29,-1.97643,-1.96036
0.3,-1.95547,-1.9345
0.31,-1.93031,-1.90794
0.32,-1.90235,-1.87649
0.33,-1.86671,-1.83666
0.34,-1.83107,-1.79822
0.35,-1.79123,-1.75139
0.36,-1.7451,-1.70806
0.37,-1.69688,-1.65355
0.38,-1.64447,-1.60533
0.39,-1.59135,-1.54732
0.4,-1.53893,-1.48792
0.41,-1.47324,-1.42082
0.42,-1.40964,-1.36002
0.43,-1.34534,-1.29013
0.44,-1.27616,-1.22164
0.45,-1.20487,-1.14686
0.46,-1.13219,-1.06999
0.47,-1.05181,-0.99311
0.48,-0.97214,-0.91413
0.49,-0.88688,-0.82957
0.5,-0.80511,-0.7464
0.51,-0.71356,-0.65485
0.52,-0.622,-0.55701
0.53,-0.52835,-0.46266
0.54,-0.42841,-0.36481
0.55,-0.32428,-0.25789
0.56,-0.22015,-0.15305
0.57,-0.11322,-0.04193
0.58,0.00419,0.07828
0.59,0.1237,0.19289
0.6,0.2495,0.32009
0.61,0.3739,0.44588
0.62,0.50389,0.58007
0.63,0.64576,0.71705
0.64,0.78694,0.86241
0.65,0.9337,1.01896
0.66,1.09025,1.17202
0.67,1.25448,1.33485
0.68,1.41872,1.50678
0.69,1.59693,1.68219
0.7,1.78213,1.87299
0.71,1.97572,2.06378
0.72,2.17141,2.26436
0.73,2.38037,2.47192
0.74,2.59912,2.69277
0.75,2.82765,2.9206
0.76,3.06387,3.16171
0.77,3.31547,3.40982
0.78,3.57265,3.6691
0.79,3.84381,3.94166
0.8,4.12686,4.2254
0.81,4.42178,4.52242
0.82,4.72929,4.82923
0.83,5.04798,5.14721
0.84,5.37994,5.48058
0.85,5.72378,5.82512
0.86,6.08021,6.18504
0.87,6.45341,6.55755
0.88,6.83989,6.93564
0.89,7.23615,7.33748
0.9,7.64709,7.74983
0.91,8.08249,8.17614
0.92,8.51929,8.60874
0.93,8.96307,9.05462
0.94,9.42713,9.51518
0.95,9.90166,9.98272
0.96,10.38527,10.46844
0.97,10.88147,10.95486
0.98,11.38606,11.46014
0.99,11.90184,11.97243
1.0,12.4274,12.49028
1.01,12.96272,13.02283
1.02,13.50856,13.56237
1.03,14.05788,14.10819
1.04,14.61838,14.65961
1.05,15.17817,15.21589
1.06,15.74635,15.78827
1.07,16.32781,16.35786
1.08,16.90788,16.93722
1.09,17.49354,17.51659
1.1,18.08267,18.09806
