Voltage (V),Forward Scan (mA),Reverse Scan (mA)
-0.2,-2.11202,-2.11342
-0.19,-2.10713,-2.11552
-0.18,-2.10923,-2.11552
-0.17,-2.10853,-2.11202
-0.16,-2.10643,-2.11132
-0.15,-2.10643,-2.11412
-0.14,-2.10643,-2.11412
-0.13,-2.10923,-2.11341
-0.12,-2.10503,-2.11482
-0.11,-2.10922,-2.11342
-0.1,-2.10923,-2.11482
-0.09,-2.10713,-2.11482
-0.08,-2.10433,-2.11132
-0.07,-2.10783,-2.11342
-0.06,-2.10922,-2.11132
-0.05,-2.10923,-2.11132
-0.04,-2.10853,-2.10713
-0.03,-2.10503,-2.11132
-0.02,-2.10294,-2.11202
-0.01,-2.10853,-2.11062
0.0,-2.10853,-2.10922
0.01,-2.10713,-2.10992
0.02,-2.10713,-2.11062
0.03,-2.10713,-2.11062
0.04,-2.10154,-2.10922
0.05,-2.10503,-2.10992
0.06,-2.10783,-2.11342
0.07,-2.10224,-2.11062
0.08,-2.10992,-2.10992
0.09,-2.10713,-2.11062
0.1,-2.10713,-2.11202
0.11,-2.10294,-2.10922
0.12,-2.10503,-2.10852
0.13,-2.10853,-2.10922
0.14,-2.10853,-2.10852
0.15,-2.10364,-2.10643
0.16,-2.10503,-2.10573
0.17,-2.10503,-2.10503
0.18,-2.10433,-2.10363
0.19,-2.09944,-2.10643
0.2,-2.10014,-2.10084
0.21,-2.10084,-2.09804
0.22,-2.09804,-2.09664
0.23,-2.09385,-2.09245
0.24,-2.08966,-2.08476
0.25,-2.08197,-2.07568
0.26,-2.07288,-2.0624
0.27,-2.0638,-2.04982
0.28,-2.05052,-2.02885
0.29,-2.02955,-2.00439
0.3,-2.00928,-1.98692
0.31,-1.98552,-1.95058
0.32,-1.95687,-1.91773
0.33,-1.92193,-1.87999
0.34,-1.88069,-1.84085
0.35,-1.83876,-1.79473
0.36,-1.79263,-1.74581
0.37,-1.74441,-1.69059
0.38,-1.69059,-1.64167
0.39,-1.63538,-1.58017
0.4,-1.57737,-1.51727
0.41,-1.51448,-1.45717
0.42,-1.45158,-1.39357
0.43,-1.38938,-1.32368
0.44,-1.3139,-1.25449
0.45,-1.24541,-1.17971
0.46,-1.16434,-1.10423
0.47,-1.09305,-1.02316
0.48,-1.00918,-0.93929
0.49,-0.92811,-0.85753
0.5,-0.83866,-0.76807
0.51,-0.7471,-0.67791
0.52,-0.65765,-0.58776
0.53,-0.5633,-0.49061
0.54,-0.46475,-0.39067
0.55,-0.35992,-0.28584
0.56,-0.25719,-0.17751
0.57,-0.14606,-0.06639
0.58,-0.03354,0.05032
0.59,0.09016,0.16843
0.6,0.21246,0.29493
0.61,0.34035,0.42632
0.62,0.47244,0.55351
0.63,0.61222,0.69748
0.64,0.75129,0.84215
0.65,0.90085,0.9938
0.66,1.0595,1.15105
0.67,1.21744,1.31249
0.68,1.39216,1.48092
0.69,1.56898,1.65983
0.7,1.74929,1.84643
0.71,1.94288,2.03792
0.72,2.14485,2.2392
0.73,2.34962,2.45375
0.74,2.56977,2.66691
0.75,2.799,2.90244
0.76,3.03452,3.13865
0.77,3.28822,3.38885
0.78,3.5433,3.65023
0.79,3.81656,3.9221
0.8,4.09751,4.20374
0.81,4.39383,4.50286
0.82,4.70064,4.81107
0.83,5.02073,5.12975
0.84,5.35619,5.46032
0.85,5.70004,5.80766
0.86,6.06275,6.16968
0.87,6.43385,6.54008
0.88,6.82173,6.93075
0.89,7.22289,7.32841
0.9,7.63312,7.73865
0.91,8.06783,8.16357
0.92,8.50392,8.59827
0.93,8.95259,9.05254
0.94,9.41735,9.5096
0.95,9.89258,9.98205
0.96,10.3804,10.46915
0.97,10.8731,10.95907
0.98,11.38748,11.46296
0.99,11.90325,11.97524
1.0,12.4302,12.50078
1.01,12.97114,13.03334
1.02,13.51696,13.56938
1.03,14.06907,14.12358
1.04,14.62818,14.67709
1.05,15.19565,15.24108
1.06,15.76664,15.80856
1.07,16.3502,16.38375
1.08,16.93446,16.95962
1.09,17.51942,17.54248
1.1,18.11555,18.13443
