Voltage (V),Forward Scan (mA),Reverse Scan (mA)
-0.2,-2.06122,-2.06542
-0.19,-2.06052,-2.06472
-0.18,-2.05912,-2.06542
-0.17,-2.05633,-2.06682
-0.16,-2.05912,-2.06542
-0.15,-2.05913,-2.06542
-0.14,-2.05982,-2.06542
-0.13,-2.05842,-2.06681
-0.12,-2.05773,-2.06472
-0.11,-2.06052,-2.06612
-0.1,-2.06052,-2.06402
-0.09,-2.05773,-2.06332
-0.08,-2.05843,-2.06262
-0.07,-2.05982,-2.06332
-0.06,-2.05842,-2.06472
-0.05,-2.05842,-2.06472
-0.04,-2.05703,-2.06122
-0.03,-2.05842,-2.06332
-0.02,-2.05912,-2.06612
-0.01,-2.05772,-2.06402
0.0,-2.05843,-2.06192
0.01,-2.05982,-2.06262
0.02,-2.05912,-2.06332
0.03,-2.05563,-2.06682
0.04,-2.05633,-2.06192
0.05,-2.05843,-2.06122
0.06,-2.05563,-2.06192
0.07,-2.05563,-2.06192
0.08,-2.05842,-2.06122
0.09,-2.05703,-2.06192
0.1,-2.05493,-2.05982
0.11,-2.05703,-2.06192
0.12,-2.05423,-2.05982
0.13,-2.05842,-2.05982
0.14,-2.05423,-2.05982
0.15,-2.05703,-2.05772
0.16,-2.05423,-2.05912
0.17,-2.05703,-2.06192
0.18,-2.05703,-2.05703
0.19,-2.05143,-2.05772
0.2,-2.05353,-2.05563
0.21,-2.05073,-2.05563
0.22,-2.05143,-2.05283
0.23,-2.04724,-2.04793
0.24,-2.04514,-2.04304
0.25,-2.04024,-2.03815
0.26,-2.03745,-2.03325
0.27,-2.02975,-2.01996
0.28,-2.01647,-2.00388
0.29,-2.00318,-1.99129
0.3,-1.9871,-1.96682
0.31,-1.96892,-1.94095
0.32,-1.94165,-1.91368
0.33,-1.91438,-1.88011
0.34,-1.88081,-1.84165
0.35,-1.83815,-1.80109
0.36,-1.7997,-1.75634
0.37,-1.75634,-1.71019
0.38,-1.7018,-1.65425
0.39,-1.65285,-1.6011
0.4,-1.59551,-1.54307
0.41,-1.53957,-1.48223
0.42,-1.47524,-1.42069
0.43,-1.4123,-1.35426
0.44,-1.34447,-1.28014
0.45,-1.27664,-1.21371
0.46,-1.20392,-1.13679
0.47,-1.12351,-1.06337
0.48,-1.04659,-0.98085
0.49,-0.96197,-0.89904
0.5,-0.88296,-0.81513
0.51,-0.79485,-0.72492
0.52,-0.70255,-0.62982
0.53,-0.61094,-0.53752
0.54,-0.51305,-0.43823
0.55,-0.41165,-0.33893
0.56,-0.30956,-0.23124
0.57,-0.20117,-0.12356
0.58,-0.08859,-0.01237
0.59,0.02888,0.11
0.6,0.14776,0.22817
0.61,0.27782,0.35544
0.62,0.40648,0.49109
0.63,0.54144,0.62675
0.64,0.68409,0.7666
0.65,0.83093,0.91345
0.66,0.98127,1.06728
0.67,1.1428,1.22881
0.68,1.30783,1.39734
0.69,1.48265,1.57495
0.7,1.66585,1.75605
0.71,1.85325,1.94416
0.72,2.05464,2.14554
0.73,2.25463,2.35182
0.74,2.4728,2.56929
0.75,2.69866,2.79865
0.76,2.93291,3.0315
0.77,3.17905,3.28044
0.78,3.43638,3.54127
0.79,3.70699,3.80838
0.8,3.9839,4.09019
0.81,4.27829,4.38177
0.82,4.58386,4.69014
0.83,4.90272,5.00761
0.84,5.23347,5.33836
0.85,5.57611,5.68449
0.86,5.93483,6.04531
0.87,6.30823,6.41522
0.88,6.69283,6.79702
0.89,7.0949,7.19629
0.9,7.50537,7.61026
0.91,7.93471,8.0375
0.92,8.37244,8.47524
0.93,8.82766,8.91927
0.94,9.29128,9.38568
0.95,9.77097,9.85908
0.96,10.25765,10.34226
0.97,10.75902,10.84153
0.98,11.26738,11.34779
0.99,11.79253,11.86595
1.0,12.32257,12.39319
1.01,12.86309,12.92742
1.02,13.41481,13.47074
1.03,13.97072,14.02387
1.04,14.53712,14.58746
1.05,15.11051,15.15317
1.06,15.6916,15.72586
1.07,16.27059,16.30415
1.08,16.86005,16.89221
1.09,17.45653,17.4824
1.1,18.05439,18.07537
