Voltage (V),Forward Scan (mA),Reverse Scan (mA)
-0.2,-2.87594,-2.87943
-0.19,-2.87244,-2.87733
-0.18,-2.87314,-2.88152
-0.17,-2.87035,-2.88083
-0.16,-2.87384,-2.87873
-0.15,-2.87663,-2.88292
-0.14,-2.87314,-2.87943
-0.13,-2.87244,-2.88083
-0.12,-2.87174,-2.87733
-0.11,-2.87244,-2.87523
-0.1,-2.87314,-2.87593
-0.09,-2.87174,-2.87733
-0.08,-2.87034,-2.87663
-0.07,-2.87384,-2.87593
-0.06,-2.87314,-2.87873
-0.05,-2.87314,-2.87593
-0.04,-2.87034,-2.87803
-0.03,-2.86965,-2.87803
-0.02,-2.87104,-2.87803
-0.01,-2.86964,-2.87454
0.0,-2.87035,-2.87803
0.01,-2.87384,-2.87873
0.02,-2.87314,-2.87663
0.03,-2.86964,-2.87593
0.04,-2.87174,-2.87523
0.05,-2.87104,-2.87593
0.06,-2.87314,-2.87663
0.07,-2.87034,-2.87593
0.08,-2.87244,-2.87384
0.09,-2.86825,-2.87384
0.1,-2.86895,-2.87244
0.11,-2.87034,-2.87313
0.12,-2.86964,-2.86824
0.13,-2.86894,-2.87034
0.14,-2.86475,-2.86335
0.15,-2.86266,-2.86196
0.16,-2.85707,-2.85846
0.17,-2.85916,-2.84937
0.18,-2.85427,-2.84308
0.19,-2.84728,-2.8312
0.2,-2.8361,-2.81164
0.21,-2.82771,-2.79486
0.22,-2.80954,-2.7718
0.23,-2.79347,-2.74314
0.24,-2.7732,-2.71659
0.25,-2.74314,-2.68304
0.26,-2.71239,-2.646
0.27,-2.68024,-2.60406
0.28,-2.63901,-2.56213
0.29,-2.60267,-2.5181
0.3,-2.55374,-2.46988
0.31,-2.50832,-2.41606
0.32,-2.4559,-2.36434
0.33,-2.40278,-2.30983
0.34,-2.35177,-2.24903
0.35,-2.28886,-2.18683
0.36,-2.23156,-2.12672
0.37,-2.16865,-2.06312
0.38,-2.10156,-1.99673
0.39,-2.03307,-1.92474
0.4,-1.96528,-1.85136
0.41,-1.89259,-1.77867
0.42,-1.81781,-1.70599
0.43,-1.74233,-1.62981
0.44,-1.66196,-1.54944
0.45,-1.58298,-1.46627
0.46,-1.49842,-1.3824
0.47,-1.41246,-1.29714
0.48,-1.3244,-1.20628
0.49,-1.23564,-1.11543
0.5,-1.13639,-1.02317
0.51,-1.04554,-0.92393
0.52,-0.9463,-0.82539
0.53,-0.84426,-0.72684
0.54,-0.74082,-0.61642
0.55,-0.63319,-0.51089
0.56,-0.52067,-0.39627
0.57,-0.40605,-0.27816
0.58,-0.28724,-0.16144
0.59,-0.16284,-0.03354
0.6,-0.03215,0.09645
0.61,0.10483,0.23203
0.62,0.23692,0.36901
0.63,0.38649,0.51788
0.64,0.52976,0.66883
0.65,0.68421,0.82259
0.66,0.84845,0.99172
0.67,1.01688,1.15945
0.68,1.1937,1.33278
0.69,1.37611,1.51728
0.7,1.56201,1.70318
0.71,1.7577,1.91145
0.72,1.96597,2.11343
0.73,2.18122,2.33148
0.74,2.40976,2.55373
0.75,2.64598,2.79764
0.76,2.885,3.04364
0.77,3.14918,3.30642
0.78,3.41475,3.5713
0.79,3.6992,3.85785
0.8,3.98924,4.14648
0.81,4.29535,4.45329
0.82,4.61544,4.77338
0.83,4.94811,5.10675
0.84,5.29475,5.4499
0.85,5.65398,5.80913
0.86,6.02928,6.18164
0.87,6.41297,6.56882
0.88,6.81482,6.96718
0.89,7.23555,7.38023
0.9,7.65768,7.81213
0.91,8.11266,8.24893
0.92,8.56692,8.7081
0.93,9.03868,9.17076
0.94,9.52161,9.646
0.95,10.0171,10.13941
0.96,10.52101,10.6412
0.97,11.04447,11.15489
0.98,11.57213,11.67416
0.99,12.11237,12.20951
1.0,12.66169,12.75184
1.01,13.2215,13.30536
1.02,13.79109,13.86657
1.03,14.36487,14.43615
1.04,14.94845,15.01273
1.05,15.5404,15.59351
1.06,16.13655,16.18546
1.07,16.73898,16.77811
1.08,17.34072,17.38266
1.09,17.95574,17.98577
1.1,18.57076,18.59171
