Voltage (V),Forward Scan (mA),Reverse Scan (mA)
-0.2,-2.03164,-2.03653
-0.19,-2.03095,-2.03374
-0.18,-2.03234,-2.03863
-0.17,-2.03094,-2.04003
-0.16,-2.02815,-2.03584
-0.15,-2.03304,-2.03514
-0.14,-2.03024,-2.03513
-0.13,-2.03234,-2.03374
-0.12,-2.02815,-2.03653
-0.11,-2.02885,-2.03374
-0.1,-2.03164,-2.03583
-0.09,-2.03094,-2.03514
-0.08,-2.02675,-2.03444
-0.07,-2.02605,-2.03164
-0.06,-2.02885,-2.03234
-0.05,-2.03234,-2.03374
-0.04,-2.02815,-2.03374
-0.03,-2.02815,-2.03304
-0.02,-2.02745,-2.03234
-0.01,-2.02885,-2.03304
0.0,-2.02955,-2.03374
0.01,-2.02885,-2.03444
0.02,-2.02955,-2.03304
0.03,-2.02605,-2.03444
0.04,-2.02745,-2.03444
0.05,-2.02885,-2.03094
0.06,-2.02745,-2.03304
0.07,-2.03024,-2.03444
0.08,-2.02885,-2.03024
0.09,-2.02396,-2.03234
0.1,-2.02955,-2.03164
0.11,-2.02256,-2.03164
0.12,-2.02675,-2.03304
0.13,-2.02745,-2.03234
0.14,-2.03024,-2.03024
0.15,-2.02884,-2.02885
0.16,-2.02605,-2.02815
0.17,-2.02605,-2.02815
0.18,-2.02326,-2.02675
0.19,-2.02605,-2.02745
0.2,-2.02535,-2.02395
0.21,-2.02326,-2.02186
0.22,-2.02325,-2.02046
0.23,-2.02046,-2.01417
0.24,-2.01766,-2.01347
0.25,-2.00998,-2.00508
0.26,-2.00299,-2.00019
0.27,-1.99879,-1.99041
0.28,-1.98971,-1.97293
0.29,-1.97433,-1.95616
0.3,-1.95616,-1.93519
0.31,-1.93869,-1.90724
0.32,-1.90934,-1.87439
0.33,-1.87859,-1.84015
0.34,-1.84574,-1.8052
0.35,-1.808,-1.76537
0.36,-1.76537,-1.71505
0.37,-1.71854,-1.66822
0.38,-1.66892,-1.6186
0.39,-1.6186,-1.5606
0.4,-1.56269,-1.50399
0.41,-1.50119,-1.44319
0.42,-1.44318,-1.38029
0.43,-1.37609,-1.31249
0.44,-1.3069,-1.2468
0.45,-1.23632,-1.17272
0.46,-1.15874,-1.09934
0.47,-1.08955,-1.02036
0.48,-1.00639,-0.93999
0.49,-0.92811,-0.85473
0.5,-0.83865,-0.76946
0.51,-0.75059,-0.6842
0.52,-0.66254,-0.58845
0.53,-0.57168,-0.4969
0.54,-0.47034,-0.39486
0.55,-0.3704,-0.29283
0.56,-0.26348,-0.1887
0.57,-0.15795,-0.07757
0.58,-0.04403,0.03774
0.59,0.07478,0.15865
0.6,0.19639,0.28095
0.61,0.32148,0.40605
0.62,0.45497,0.53813
0.63,0.58985,0.67861
0.64,0.73312,0.81978
0.65,0.87918,0.96794
0.66,1.03503,1.12449
0.67,1.19438,1.29012
0.68,1.36141,1.45506
0.69,1.53752,1.63187
0.7,1.72133,1.81218
0.71,1.91352,2.00577
0.72,2.10781,2.21054
0.73,2.31607,2.41601
0.74,2.53342,2.63825
0.75,2.75706,2.86049
0.76,2.99537,3.09811
0.77,3.24208,3.34551
0.78,3.49926,3.60619
0.79,3.77043,3.87735
0.8,4.05417,4.15969
0.81,4.3428,4.45252
0.82,4.64681,4.75933
0.83,4.96969,5.07871
0.84,5.29746,5.40928
0.85,5.6455,5.75243
0.86,6.00472,6.11234
0.87,6.37443,6.48275
0.88,6.75671,6.86783
0.89,7.15786,7.26479
0.9,7.5702,7.67293
0.91,8.0007,8.10065
0.92,8.4361,8.53813
0.93,8.88617,8.98401
0.94,9.34673,9.44108
0.95,9.82337,9.91562
0.96,10.31328,10.39644
0.97,10.80529,10.88775
0.98,11.31336,11.39163
0.99,11.82633,11.90391
1.0,12.35748,12.42876
1.01,12.8998,12.95991
1.02,13.44142,13.50153
1.03,13.99564,14.04944
1.04,14.55754,14.60295
1.05,15.12363,15.16275
1.06,15.70019,15.73304
1.07,16.27605,16.30961
1.08,16.86101,16.88897
1.09,17.45087,17.47183
1.1,18.04281,18.06168
