Voltage (V),Forward Scan (mA),Reverse Scan (mA)
-0.2,-2.5684,-2.57748
-0.19,-2.5698,-2.57539
-0.18,-2.5677,-2.57958
-0.17,-2.5663,-2.57748
-0.16,-2.5677,-2.57679
-0.15,-2.5691,-2.57818
-0.14,-2.5684,-2.57818
-0.13,-2.56561,-2.57679
-0.12,-2.56631,-2.57749
-0.11,-2.56491,-2.57539
-0.1,-2.56421,-2.57749
-0.09,-2.5698,-2.57748
-0.08,-2.567,-2.57748
-0.07,-2.5677,-2.57678
-0.06,-2.5663,-2.57469
-0.05,-2.5663,-2.57469
-0.04,-2.5663,-2.57329
-0.03,-2.5663,-2.57189
-0.02,-2.5691,-2.57539
-0.01,-2.56561,-2.57469
0.0,-2.5663,-2.57259
0.01,-2.567,-2.57469
0.02,-2.56561,-2.57539
0.03,-2.5663,-2.57259
0.04,-2.5656,-2.57329
0.05,-2.567,-2.57469
0.06,-2.56491,-2.57469
0.07,-2.5663,-2.57399
0.08,-2.56491,-2.57399
0.09,-2.5705,-2.57399
0.1,-2.56491,-2.57608
0.11,-2.56281,-2.5684
0.12,-2.5663,-2.57119
0.13,-2.56491,-2.5691
0.14,-2.56421,-2.57049
0.15,-2.56351,-2.5663
0.16,-2.56071,-2.5684
0.17,-2.56001,-2.56421
0.18,-2.56141,-2.55512
0.19,-2.55652,-2.55442
0.2,-2.55163,-2.54673
0.21,-2.54534,-2.53905
0.22,-2.53905,-2.52856
0.23,-2.53555,-2.51318
0.24,-2.52018,-2.49362
0.25,-2.502,-2.46776
0.26,-2.47894,-2.444
0.27,-2.45937,-2.41394
0.28,-2.43142,-2.379
0.29,-2.39857,-2.33986
0.3,-2.36223,-2.30212
0.31,-2.32519,-2.2567
0.32,-2.28046,-2.20777
0.33,-2.23503,-2.16304
0.34,-2.18331,-2.10643
0.35,-2.13439,-2.04983
0.36,-2.07848,-1.99461
0.37,-2.02047,-1.93451
0.38,-1.95967,-1.86951
0.39,-1.89817,-1.80312
0.4,-1.82688,-1.73742
0.41,-1.76538,-1.67033
0.42,-1.6913,-1.59765
0.43,-1.61722,-1.51937
0.44,-1.54383,-1.44669
0.45,-1.46416,-1.36142
0.46,-1.38309,-1.28525
0.47,-1.29923,-1.20068
0.48,-1.21746,-1.11122
0.49,-1.13009,-1.02666
0.5,-1.03924,-0.93091
0.51,-0.94629,-0.84145
0.52,-0.85264,-0.74641
0.53,-0.7513,-0.64087
0.54,-0.64716,-0.54024
0.55,-0.54233,-0.42772
0.56,-0.43261,-0.31939
0.57,-0.31939,-0.20896
0.58,-0.20337,-0.08736
0.59,-0.07897,0.04054
0.6,0.04962,0.16284
0.61,0.17752,0.29633
0.62,0.31589,0.4347
0.63,0.45847,0.57658
0.64,0.60034,0.72753
0.65,0.75339,0.87709
0.66,0.91483,1.04133
0.67,1.07697,1.20836
0.68,1.251,1.38169
0.69,1.42711,1.5599
0.7,1.61721,1.75069
0.71,1.8115,1.94778
0.72,2.01417,2.15255
0.73,2.23012,2.36571
0.74,2.45586,2.59005
0.75,2.68439,2.82697
0.76,2.9304,3.06878
0.77,3.1813,3.33086
0.78,3.44478,3.58944
0.79,3.72432,3.8669
0.8,4.01366,4.15623
0.81,4.31418,4.45744
0.82,4.63007,4.77544
0.83,4.95715,5.10391
0.84,5.2989,5.43937
0.85,5.65183,5.79161
0.86,6.02014,6.16201
0.87,6.40313,6.5422
0.88,6.7966,6.94056
0.89,7.20823,7.34522
0.9,7.63315,7.76943
0.91,8.07834,8.20134
0.92,8.52422,8.65142
0.93,8.98898,9.10849
0.94,9.46281,9.58582
0.95,9.95203,10.06664
0.96,10.45313,10.56145
0.97,10.96261,11.06604
0.98,11.48258,11.58112
0.99,12.01301,12.10947
1.0,12.55603,12.64549
1.01,13.11026,13.18851
1.02,13.66796,13.74134
1.03,14.23965,14.30534
1.04,14.81343,14.87283
1.05,15.39699,15.44662
1.06,15.98335,16.03087
1.07,16.57878,16.61723
1.08,17.17702,17.20988
1.09,17.77666,17.81158
1.1,18.38678,18.40635
