Voltage (V),Forward Scan (mA),Reverse Scan (mA)
-0.2,-2.06099,-2.06239
-0.19,-2.0568,-2.06099
-0.18,-2.0582,-2.06239
-0.17,-2.05959,-2.06239
-0.16,-2.0589,-2.06658
-0.15,-2.0547,-2.0596
-0.14,-2.0561,-2.06448
-0.13,-2.0575,-2.05889
-0.12,-2.0568,-2.05959
-0.11,-2.0561,-2.06169
-0.1,-2.0575,-2.06309
-0.09,-2.0582,-2.06029
-0.08,-2.0575,-2.06029
-0.07,-2.0575,-2.06379
-0.06,-2.0568,-2.05959
-0.05,-2.0554,-2.06239
-0.04,-2.0533,-2.06029
-0.03,-2.0575,-2.05959
-0.02,-2.0575,-2.06029
-0.01,-2.0561,-2.06169
0.0,-2.0554,-2.06099
0.01,-2.05889,-2.05959
0.02,-2.0582,-2.06169
0.03,-2.0568,-2.0582
0.04,-2.0582,-2.0568
0.05,-2.05401,-2.06029
0.06,-2.0554,-2.0589
0.07,-2.0561,-2.0561
0.08,-2.0589,-2.0582
0.09,-2.0533,-2.0561
0.1,-2.0547,-2.0575
0.11,-2.05261,-2.0561
0.12,-2.05051,-2.0554
0.13,-2.0568,-2.06029
0.14,-2.0547,-2.0568
0.15,-2.04981,-2.0568
0.16,-2.05331,-2.0533
0.17,-2.04841,-2.0561
0.18,-2.05261,-2.054
0.19,-2.05121,-2.0561
0.2,-2.05051,-2.054
0.21,-2.05261,-2.0547
0.22,-2.05121,-2.05121
0.23,-2.04981,-2.04771
0.24,-2.04492,-2.04771
0.25,-2.04142,-2.04282
0.26,-2.04142,-2.03653
0.27,-2.03513,-2.02535
0.28,-2.02675,-2.01347
0.29,-2.01976,-2.00019
0.3,-2.00578,-1.98691
0.31,-1.9911,-1.96455
0.32,-1.97293,-1.93799
0.33,-1.94777,-1.91073
0.34,-1.92192,-1.87439
0.35,-1.88348,-1.83595
0.36,-1.84714,-1.79542
0.37,-1.8094,-1.75348
0.38,-1.76257,-1.70386
0.39,-1.71015,-1.64656
0.4,-1.65704,-1.59554
0.41,-1.60532,-1.53963
0.42,-1.54732,-1.47463
0.43,-1.48022,-1.40964
0.44,-1.41663,-1.34324
0.45,-1.35233,-1.27475
0.46,-1.27755,-1.20207
0.47,-1.20347,-1.1238
0.48,-1.12799,-1.04832
0.49,-1.04622,-0.96235
0.5,-0.96375,-0.88478
0.51,-0.87779,-0.79742
0.52,-0.79113,-0.70447
0.53,-0.69958,-0.60942
0.54,-0.60453,-0.51367
0.55,-0.50529,-0.41443
0.56,-0.40185,-0.3124
0.57,-0.29562,-0.20267
0.58,-0.1859,-0.09015
0.59,-0.06849,0.02726
0.6,0.04962,0.14607
0.61,0.17472,0.27885
0.62,0.30611,0.40255
0.63,0.44169,0.53953
0.64,0.57937,0.6821
0.65,0.72333,0.82886
0.66,0.87499,0.98052
0.67,1.03503,1.14196
0.68,1.19996,1.31109
0.69,1.37399,1.48161
0.7,1.5522,1.66192
0.71,1.74019,1.85271
0.72,1.93868,2.05189
0.73,2.14484,2.26435
0.74,2.3587,2.47191
0.75,2.58374,2.69905
0.76,2.81436,2.93806
0.77,3.06386,3.18267
0.78,3.31895,3.44335
0.79,3.59011,3.71311
0.8,3.87036,3.99755
0.81,4.16039,4.28759
0.82,4.46789,4.59858
0.83,4.78728,4.91377
0.84,5.12134,5.24434
0.85,5.46868,5.59238
0.86,5.83069,5.9516
0.87,6.1997,6.3234
0.88,6.58688,6.71267
0.89,6.99572,7.11172
0.9,7.40525,7.52266
0.91,7.83995,7.95597
0.92,8.28583,8.39835
0.93,8.74499,8.85052
0.94,9.21254,9.31666
0.95,9.69475,9.7968
0.96,10.18326,10.2881
0.97,10.69135,10.785
0.98,11.21061,11.29937
0.99,11.73756,11.81933
1.0,12.2771,12.35118
1.01,12.82501,12.8956
1.02,13.37992,13.44419
1.03,13.946,14.00539
1.04,14.51628,14.57218
1.05,15.09564,15.14944
1.06,15.68899,15.72602
1.07,16.27534,16.31168
1.08,16.87427,16.90572
1.09,17.4774,17.50395
1.1,18.08402,18.10217
