Voltage (V),Forward Scan (mA),Reverse Scan (mA)
-0.2,-2.11179,-2.1258
-0.19,-2.116,-2.1237
-0.18,-2.1153,-2.1251
-0.17,-2.11459,-2.1272
-0.16,-2.1153,-2.1216
-0.15,-2.116,-2.1223
-0.14,-2.116,-2.1237
-0.13,-2.1153,-2.1237
-0.12,-2.1146,-2.1258
-0.11,-2.1153,-2.1244
-0.1,-2.116,-2.1202
-0.09,-2.1153,-2.123
-0.08,-2.116,-2.1237
-0.07,-2.1146,-2.1251
-0.06,-2.11389,-2.1258
-0.05,-2.11389,-2.1223
-0.04,-2.1167,-2.123
-0.03,-2.1181,-2.1202
-0.02,-2.11249,-2.1244
-0.01,-2.116,-2.1209
0.0,-2.11319,-2.1195
0.01,-2.1153,-2.1223
0.02,-2.1153,-2.1223
0.03,-2.1153,-2.1216
0.04,-2.1139,-2.1209
0.05,-2.11459,-2.1188
0.06,-2.11319,-2.1223
0.07,-2.1146,-2.1202
0.08,-2.11249,-2.1202
0.09,-2.11179,-2.1195
0.1,-2.11249,-2.1188
0.11,-2.11459,-2.1209
0.12,-2.116,-2.1223
0.13,-2.11319,-2.1195
0.14,-2.11319,-2.1195
0.15,-2.11109,-2.1181
0.16,-2.11319,-2.1209
0.17,-2.11109,-2.11599
0.18,-2.11249,-2.1202
0.19,-2.10969,-2.1181
0.2,-2.11109,-2.11249
0.21,-2.11109,-2.11319
0.22,-2.10899,-2.11389
0.23,-2.10829,-2.10829
0.24,-2.10339,-2.10619
0.25,-2.10129,-2.10199
0.26,-2.09708,-2.09148
0.27,-2.09148,-2.08448
0.28,-2.08237,-2.07327
0.29,-2.07467,-2.05856
0.3,-2.05926,-2.03685
0.31,-2.04035,-2.01653
0.32,-2.01863,-1.98571
0.33,-1.98852,-1.95419
0.34,-1.9591,-1.91847
0.35,-1.92408,-1.88065
0.36,-1.88975,-1.83722
0.37,-1.84212,-1.78889
0.38,-1.79379,-1.73986
0.39,-1.73986,-1.68523
0.4,-1.69223,-1.63199
0.41,-1.63129,-1.56475
0.42,-1.57106,-1.50802
0.43,-1.51152,-1.44217
0.44,-1.44077,-1.37283
0.45,-1.37073,-1.30139
0.46,-1.29789,-1.22644
0.47,-1.22644,-1.15219
0.48,-1.14799,-1.07375
0.49,-1.06464,-0.9925
0.5,-0.98549,-0.90844
0.51,-0.89654,-0.82019
0.52,-0.80898,-0.72493
0.53,-0.70952,-0.63457
0.54,-0.61566,-0.53371
0.55,-0.5169,-0.43355
0.56,-0.41814,-0.32778
0.57,-0.30537,-0.21992
0.58,-0.194,-0.10995
0.59,-0.08123,0.01122
0.6,0.04064,0.13029
0.61,0.16672,0.25847
0.62,0.29629,0.38945
0.63,0.42937,0.52673
0.64,0.57296,0.66752
0.65,0.71935,0.81251
0.66,0.87064,0.9708
0.67,1.02964,1.1354
0.68,1.19424,1.2993
0.69,1.36864,1.47441
0.7,1.55005,1.65581
0.71,1.74126,1.84703
0.72,1.93879,2.04385
0.73,2.14541,2.25538
0.74,2.36254,2.469
0.75,2.58387,2.70014
0.76,2.81922,2.93408
0.77,3.06716,3.18414
0.78,3.32702,3.44329
0.79,3.59808,3.71506
0.8,3.87265,3.99873
0.81,4.17383,4.2936
0.82,4.47852,4.59969
0.83,4.80211,4.92048
0.84,5.13621,5.25319
0.85,5.48362,5.60339
0.86,5.84434,5.96061
0.87,6.21766,6.33814
0.88,6.6092,6.72407
0.89,7.01054,7.12611
0.9,7.42729,7.54286
0.91,7.86716,7.97082
0.92,8.30702,8.41349
0.93,8.7651,8.86666
0.94,9.22948,9.34015
0.95,9.71977,9.81363
0.96,10.20867,10.30323
0.97,10.71717,10.80613
0.98,11.23828,11.32024
0.99,11.7608,11.84486
1.0,12.29943,12.37787
1.01,12.85276,12.9214
1.02,13.4068,13.46983
1.03,13.97413,14.03087
1.04,14.54427,14.59682
1.05,15.12282,15.17466
1.06,15.70978,15.75321
1.07,16.30444,16.33736
1.08,16.9005,16.92852
1.09,17.50425,17.52597
1.1,18.10944,18.12973
