Voltage (V),Forward Scan (mA),Reverse Scan (mA)
-0.2,-2.9053,-2.91648
-0.19,-2.9032,-2.91857
-0.18,-2.9025,-2.91648
-0.17,-2.9053,-2.91717
-0.16,-2.9018,-2.91717
-0.15,-2.9025,-2.91577
-0.14,-2.9046,-2.91578
-0.13,-2.9018,-2.91647
-0.12,-2.9046,-2.91578
-0.11,-2.9025,-2.91647
-0.1,-2.9046,-2.91577
-0.09,-2.9046,-2.91717
-0.08,-2.9053,-2.91578
-0.07,-2.9046,-2.91647
-0.06,-2.9046,-2.91368
-0.05,-2.9039,-2.91368
-0.04,-2.9032,-2.91717
-0.03,-2.9053,-2.91648
-0.02,-2.9025,-2.91298
-0.01,-2.899,-2.91717
0.0,-2.90529,-2.91578
0.01,-2.9025,-2.91508
0.02,-2.9046,-2.91648
0.03,-2.9025,-2.91019
0.04,-2.9025,-2.91508
0.05,-2.9025,-2.91228
0.06,-2.8997,-2.91368
0.07,-2.9032,-2.91438
0.08,-2.9018,-2.91158
0.09,-2.9039,-2.91088
0.1,-2.89761,-2.90948
0.11,-2.89691,-2.90669
0.12,-2.89831,-2.90389
0.13,-2.899,-2.9025
0.14,-2.89132,-2.89551
0.15,-2.88782,-2.89061
0.16,-2.88712,-2.88502
0.17,-2.88433,-2.87104
0.18,-2.87734,-2.85847
0.19,-2.86266,-2.84449
0.2,-2.85148,-2.81863
0.21,-2.83331,-2.79836
0.22,-2.81234,-2.7718
0.23,-2.78578,-2.73826
0.24,-2.75853,-2.70611
0.25,-2.72428,-2.66627
0.26,-2.69004,-2.62643
0.27,-2.65299,-2.57821
0.28,-2.60826,-2.53278
0.29,-2.55934,-2.48456
0.3,-2.51112,-2.43354
0.31,-2.458,-2.37973
0.32,-2.40908,-2.32242
0.33,-2.35037,-2.26511
0.34,-2.29166,-2.2036
0.35,-2.23016,-2.1414
0.36,-2.16726,-2.07221
0.37,-2.10366,-2.00442
0.38,-2.03307,-1.93802
0.39,-1.96458,-1.86394
0.4,-1.8891,-1.79335
0.41,-1.81432,-1.71927
0.42,-1.73814,-1.6382
0.43,-1.65987,-1.55783
0.44,-1.57879,-1.47676
0.45,-1.49493,-1.39498
0.46,-1.40827,-1.30693
0.47,-1.31881,-1.21677
0.48,-1.23145,-1.12521
0.49,-1.1371,-1.03575
0.5,-1.04414,-0.93651
0.51,-0.947,-0.83517
0.52,-0.84566,-0.73453
0.53,-0.74012,-0.629
0.54,-0.6304,-0.52137
0.55,-0.52067,-0.40955
0.56,-0.40396,-0.29283
0.57,-0.28584,-0.17332
0.58,-0.16424,-0.05032
0.59,-0.03564,0.08107
0.6,0.09924,0.21805
0.61,0.23413,0.35014
0.62,0.37391,0.49551
0.63,0.52277,0.64647
0.64,0.67722,0.79883
0.65,0.83587,0.96097
0.66,1.0036,1.1301
0.67,1.17483,1.30203
0.68,1.35444,1.48304
0.69,1.54175,1.67383
0.7,1.73813,1.86882
0.71,1.93871,2.07709
0.72,2.15187,2.28885
0.73,2.37552,2.5118
0.74,2.60615,2.74593
0.75,2.84727,2.98914
0.76,3.10026,3.24213
0.77,3.36794,3.50492
0.78,3.6384,3.77888
0.79,3.92565,4.07101
0.8,4.22547,4.36734
0.81,4.53717,4.67555
0.82,4.86145,5.00123
0.83,5.19762,5.33809
0.84,5.54776,5.69173
0.85,5.91538,6.05375
0.86,6.29138,6.43185
0.87,6.68555,6.82532
0.88,7.0916,7.22927
0.89,7.51303,7.64791
0.9,7.94704,8.07983
0.91,8.39432,8.52222
0.92,8.85489,8.97649
0.93,9.32454,9.44615
0.94,9.80957,9.92417
0.95,10.30716,10.4197
0.96,10.81247,10.92358
0.97,11.33034,11.43239
0.98,11.86219,11.95445
0.99,12.39893,12.48979
1.0,12.94755,13.03072
1.01,13.50458,13.57866
1.02,14.07068,14.14126
1.03,14.64306,14.70664
1.04,15.22243,15.27974
1.05,15.80741,15.8619
1.06,16.40285,16.44268
1.07,16.99759,17.03674
1.08,17.59865,17.63498
1.09,18.20807,18.23254
1.1,18.8175,18.83777
