Voltage (V),Forward Scan (mA),Reverse Scan (mA)
-0.2,-2.03745,-2.04794
-0.19,-2.04024,-2.04654
-0.18,-2.04164,-2.04444
-0.17,-2.03954,-2.04584
-0.16,-2.03815,-2.04794
-0.15,-2.03885,-2.04584
-0.14,-2.03815,-2.04654
-0.13,-2.04234,-2.04584
-0.12,-2.03675,-2.04304
-0.11,-2.03815,-2.04514
-0.1,-2.04094,-2.04234
-0.09,-2.03605,-2.04514
-0.08,-2.03885,-2.04514
-0.07,-2.03885,-2.04234
-0.06,-2.03885,-2.04584
-0.05,-2.03745,-2.04514
-0.04,-2.03814,-2.04374
-0.03,-2.04094,-2.04374
-0.02,-2.03745,-2.04164
-0.01,-2.03815,-2.04444
0.0,-2.03745,-2.04584
0.01,-2.03815,-2.04094
0.02,-2.03884,-2.04234
0.03,-2.03884,-2.04094
0.04,-2.03815,-2.04304
0.05,-2.03884,-2.04234
0.06,-2.03605,-2.04094
0.07,-2.03954,-2.03954
0.08,-2.03675,-2.04514
0.09,-2.03535,-2.04304
0.1,-2.03605,-2.04374
0.11,-2.03535,-2.04164
0.12,-2.03675,-2.04094
0.13,-2.03675,-2.04164
0.14,-2.03675,-2.04164
0.15,-2.03605,-2.04374
0.16,-2.03605,-2.04164
0.17,-2.03465,-2.03884
0.18,-2.03535,-2.03745
0.19,-2.03325,-2.03954
0.2,-2.03185,-2.03675
0.21,-2.03325,-2.03465
0.22,-2.03115,-2.03115
0.23,-2.02905,-2.02905
0.24,-2.02486,-2.02346
0.25,-2.02276,-2.01856
0.26,-2.01577,-2.01087
0.27,-2.00738,-2.00038
0.28,-1.99759,-1.9878
0.29,-1.9864,-1.97311
0.3,-1.96892,-1.95004
0.31,-1.94934,-1.92277
0.32,-1.92067,-1.89619
0.33,-1.8906,-1.85913
0.34,-1.85634,-1.81788
0.35,-1.81997,-1.78152
0.36,-1.77522,-1.73396
0.37,-1.73396,-1.68921
0.38,-1.68292,-1.63747
0.39,-1.63187,-1.57943
0.4,-1.57733,-1.52488
0.41,-1.513,-1.46475
0.42,-1.45286,-1.39972
0.43,-1.38853,-1.33398
0.44,-1.3186,-1.26476
0.45,-1.25007,-1.19203
0.46,-1.17595,-1.11721
0.47,-1.10393,-1.04169
0.48,-1.02491,-0.96337
0.49,-0.9403,-0.87736
0.5,-0.85709,-0.79345
0.51,-0.76548,-0.70465
0.52,-0.67877,-0.61304
0.53,-0.58227,-0.51584
0.54,-0.48857,-0.41865
0.55,-0.38788,-0.31865
0.56,-0.28369,-0.20957
0.57,-0.1746,-0.10398
0.58,-0.06132,0.0121
0.59,0.05266,0.12958
0.6,0.17782,0.25195
0.61,0.30579,0.37641
0.62,0.43725,0.51067
0.63,0.56801,0.64773
0.64,0.70996,0.78968
0.65,0.8575,0.93862
0.66,1.01344,1.09735
0.67,1.17357,1.25748
0.68,1.34069,1.4253
0.69,1.51341,1.59872
0.7,1.69452,1.78193
0.71,1.88262,1.97143
0.72,2.08121,2.17281
0.73,2.28959,2.38119
0.74,2.50426,2.59866
0.75,2.72803,2.82522
0.76,2.96577,3.06437
0.77,3.20702,3.31261
0.78,3.46854,3.56574
0.79,3.73636,3.83915
0.8,4.01886,4.11815
0.81,4.31325,4.41394
0.82,4.61812,4.72161
0.83,4.93139,5.03838
0.84,5.26634,5.37122
0.85,5.61387,5.71386
0.86,5.96839,6.07189
0.87,6.3411,6.44389
0.88,6.72709,6.82848
0.89,7.12426,7.22636
0.9,7.53613,7.63823
0.91,7.97037,8.06687
0.92,8.40462,8.50321
0.93,8.85774,8.95004
0.94,9.31924,9.41434
0.95,9.80104,9.88634
0.96,10.28492,10.36673
0.97,10.78698,10.8646
0.98,11.29186,11.36877
0.99,11.8135,11.88902
1.0,12.34424,12.41417
1.01,12.88547,12.9484
1.02,13.43299,13.48961
1.03,13.9889,14.04062
1.04,14.5539,14.59934
1.05,15.121,15.16714
1.06,15.69999,15.73284
1.07,16.27897,16.31114
1.08,16.87124,16.89851
1.09,17.46561,17.48379
1.1,18.05648,18.07397
