Voltage (V),Forward Scan (mA),Reverse Scan (mA)
-0.2,-2.15326,-2.15745
-0.19,-2.15326,-2.15605
-0.18,-2.15326,-2.15675
-0.17,-2.15326,-2.15675
-0.16,-2.15116,-2.15885
-0.15,-2.15396,-2.15675
-0.14,-2.15396,-2.15745
-0.13,-2.15046,-2.15675
-0.12,-2.15536,-2.15885
-0.11,-2.15116,-2.15675
-0.1,-2.15046,-2.15815
-0.09,-2.14976,-2.15745
-0.08,-2.15116,-2.15745
-0.07,-2.15256,-2.15535
-0.06,-2.14976,-2.15256
-0.05,-2.15256,-2.15396
-0.04,-2.14837,-2.15675
-0.03,-2.15256,-2.15535
-0.02,-2.15116,-2.15256
-0.01,-2.14977,-2.15535
0.0,-2.15256,-2.15605
0.01,-2.14976,-2.15186
0.02,-2.14976,-2.15186
0.03,-2.14767,-2.15535
0.04,-2.14976,-2.15256
0.05,-2.15326,-2.15186
0.06,-2.14976,-2.15116
0.07,-2.14697,-2.15186
0.08,-2.14767,-2.15186
0.09,-2.14976,-2.15116
0.1,-2.15116,-2.15326
0.11,-2.14627,-2.15396
0.12,-2.14767,-2.15186
0.13,-2.14767,-2.15186
0.14,-2.14976,-2.14976
0.15,-2.14837,-2.15326
0.16,-2.14767,-2.14906
0.17,-2.15046,-2.15116
0.18,-2.14417,-2.14697
0.19,-2.14417,-2.14137
0.2,-2.13998,-2.14208
0.21,-2.14138,-2.14417
0.22,-2.13858,-2.13648
0.23,-2.13089,-2.1281
0.24,-2.126,-2.12111
0.25,-2.11761,-2.11062
0.26,-2.10783,-2.10014
0.27,-2.09595,-2.07987
0.28,-2.07638,-2.0631
0.29,-2.05681,-2.03445
0.3,-2.03026,-2.00579
0.31,-1.9995,-1.97714
0.32,-1.96875,-1.9394
0.33,-1.93031,-1.90026
0.34,-1.88768,-1.85274
0.35,-1.84505,-1.81011
0.36,-1.79823,-1.76049
0.37,-1.74721,-1.70108
0.38,-1.6878,-1.64517
0.39,-1.63399,-1.58926
0.4,-1.57528,-1.52915
0.41,-1.50819,-1.46136
0.42,-1.44599,-1.39357
0.43,-1.3761,-1.32648
0.44,-1.30272,-1.25729
0.45,-1.23003,-1.17831
0.46,-1.15246,-1.10423
0.47,-1.07768,-1.02037
0.48,-0.99171,-0.9344
0.49,-0.90855,-0.85264
0.5,-0.81909,-0.76458
0.51,-0.72963,-0.67232
0.52,-0.63668,-0.58007
0.53,-0.53744,-0.48013
0.54,-0.4361,-0.38299
0.55,-0.33616,-0.27676
0.56,-0.23133,-0.16563
0.57,-0.11531,-0.05381
0.58,-0.00419,0.0629
0.59,0.12021,0.17891
0.6,0.24251,0.30681
0.61,0.37111,0.4396
0.62,0.50389,0.57378
0.63,0.64507,0.71216
0.64,0.79043,0.85962
0.65,0.93929,1.01477
0.66,1.09584,1.17551
0.67,1.25938,1.33765
0.68,1.42781,1.50608
0.69,1.60672,1.6815
0.7,1.79332,1.87439
0.71,1.98412,2.06938
0.72,2.18679,2.27205
0.73,2.39995,2.48032
0.74,2.6173,2.69906
0.75,2.84373,2.93249
0.76,3.08834,3.1736
0.77,3.33714,3.4245
0.78,3.59643,3.68798
0.79,3.87039,3.95914
0.8,4.15273,4.24708
0.81,4.45325,4.5434
0.82,4.75796,4.853
0.83,5.08154,5.17239
0.84,5.41281,5.50646
0.85,5.76364,5.85589
0.86,6.11867,6.21931
0.87,6.49746,6.58902
0.88,6.88324,6.97689
0.89,7.2851,7.37525
0.9,7.70093,7.79109
0.91,8.12864,8.216
0.92,8.56824,8.65559
0.93,9.01831,9.10218
0.94,9.48307,9.56554
0.95,9.9576,10.03797
0.96,10.44263,10.51531
0.97,10.93883,11.0164
0.98,11.4497,11.51399
0.99,11.96478,12.03117
1.0,12.49243,12.55463
1.01,13.03197,13.08647
1.02,13.57707,13.62881
1.03,14.1278,14.17532
1.04,14.6876,14.72743
1.05,15.2516,15.28933
1.06,15.82467,15.85682
1.07,16.40264,16.4299
1.08,16.98411,17.00928
1.09,17.57045,17.59353
1.1,18.16591,18.18269
