Voltage (V),Forward Scan (mA),Reverse Scan (mA)
-0.2,-2.05982,-2.06681
-0.19,-2.05982,-2.06821
-0.18,-2.06122,-2.06751
-0.17,-2.05982,-2.06472
-0.16,-2.05842,-2.06472
-0.15,-2.05842,-2.06332
-0.14,-2.06122,-2.06472
-0.13,-2.06122,-2.06542
-0.12,-2.05912,-2.06751
-0.11,-2.05982,-2.06751
-0.1,-2.05912,-2.06472
-0.09,-2.05982,-2.06472
-0.08,-2.06192,-2.06612
-0.07,-2.05912,-2.06541
-0.06,-2.05982,-2.06332
-0.05,-2.05912,-2.06472
-0.04,-2.05772,-2.06192
-0.03,-2.05772,-2.06332
-0.02,-2.05982,-2.06332
-0.01,-2.05772,-2.06402
0.0,-2.05912,-2.06402
0.01,-2.06052,-2.06192
0.02,-2.05772,-2.06262
0.03,-2.05842,-2.06332
0.04,-2.05912,-2.06192
0.05,-2.05982,-2.06122
0.06,-2.05703,-2.06262
0.07,-2.05772,-2.06122
0.08,-2.05633,-2.06192
0.09,-2.05982,-2.05772
0.1,-2.05912,-2.06402
0.11,-2.05912,-2.06052
0.12,-2.05842,-2.05912
0.13,-2.05912,-2.06262
0.14,-2.05633,-2.06542
0.15,-2.05563,-2.06262
0.16,-2.05703,-2.06122
0.17,-2.05633,-2.05842
0.18,-2.05283,-2.05842
0.19,-2.05633,-2.05912
0.2,-2.05423,-2.05633
0.21,-2.05283,-2.05702
0.22,-2.05283,-2.05632
0.23,-2.05143,-2.04933
0.24,-2.05073,-2.04863
0.25,-2.04654,-2.04234
0.26,-2.03954,-2.03744
0.27,-2.03465,-2.02556
0.28,-2.02765,-2.01647
0.29,-2.01647,-2.00248
0.3,-2.00318,-1.9857
0.31,-1.9871,-1.95773
0.32,-1.96402,-1.93255
0.33,-1.93605,-1.89899
0.34,-1.90458,-1.86612
0.35,-1.87242,-1.82347
0.36,-1.83256,-1.78291
0.37,-1.7934,-1.73466
0.38,-1.74305,-1.68501
0.39,-1.69061,-1.63397
0.4,-1.64096,-1.57663
0.41,-1.58152,-1.51439
0.42,-1.51929,-1.45775
0.43,-1.45845,-1.38992
0.44,-1.39062,-1.3193
0.45,-1.3207,-1.25357
0.46,-1.25287,-1.17525
0.47,-1.17665,-1.10113
0.48,-1.09833,-1.02281
0.49,-1.01582,-0.9368
0.5,-0.92981,-0.85569
0.51,-0.8466,-0.76478
0.52,-0.75289,-0.67667
0.53,-0.66479,-0.58018
0.54,-0.56829,-0.48438
0.55,-0.47039,-0.38438
0.56,-0.3676,-0.27949
0.57,-0.25572,-0.16761
0.58,-0.14663,-0.05713
0.59,-0.03125,0.06454
0.6,0.09112,0.18272
0.61,0.21558,0.31068
0.62,0.34425,0.44214
0.63,0.4834,0.5778
0.64,0.62395,0.72185
0.65,0.7673,0.8666
0.66,0.91904,1.02533
0.67,1.07987,1.18336
0.68,1.24629,1.35188
0.69,1.42041,1.52809
0.7,1.59802,1.7092
0.71,1.79032,1.8973
0.72,1.98681,2.09869
0.73,2.19309,2.30287
0.74,2.41475,2.52454
0.75,2.63782,2.7504
0.76,2.87207,2.99095
0.77,3.11891,3.23708
0.78,3.37763,3.49511
0.79,3.64965,3.76642
0.8,3.92795,4.04893
0.81,4.22514,4.34331
0.82,4.53072,4.65308
0.83,4.85097,4.97125
0.84,5.18522,5.3034
0.85,5.52926,5.65162
0.86,5.89287,6.01174
0.87,6.26697,6.38585
0.88,6.65646,6.77184
0.89,7.05923,7.16972
0.9,7.47599,7.59347
0.91,7.91303,8.02072
0.92,8.35496,8.46125
0.93,8.80808,8.91297
0.94,9.27588,9.38077
0.95,9.76326,9.86187
0.96,10.25484,10.34924
0.97,10.75831,10.85271
0.98,11.27856,11.36597
0.99,11.80439,11.88831
1.0,12.34004,12.41975
1.01,12.88965,12.96027
1.02,13.44556,13.51129
1.03,14.01196,14.07069
1.04,14.58466,14.6371
1.05,15.16155,15.2063
1.06,15.74823,15.78668
1.07,16.3391,16.37335
1.08,16.93557,16.96633
1.09,17.53693,17.56281
1.1,18.14388,18.16276
