Voltage (V),Forward Scan (mA),Reverse Scan (mA)
-0.2,-2.05786,-2.06626
-0.19,-2.05856,-2.06556
-0.18,-2.05926,-2.06416
-0.17,-2.05856,-2.06276
-0.16,-2.05786,-2.06697
-0.15,-2.05716,-2.06276
-0.14,-2.05856,-2.06416
-0.13,-2.05786,-2.06346
-0.12,-2.05576,-2.06346
-0.11,-2.05646,-2.06556
-0.1,-2.05856,-2.06486
-0.09,-2.05716,-2.06416
-0.08,-2.05786,-2.06346
-0.07,-2.05716,-2.06416
-0.06,-2.05716,-2.06276
-0.05,-2.05436,-2.06416
-0.04,-2.05366,-2.06416
-0.03,-2.05856,-2.06206
-0.02,-2.05716,-2.06346
-0.01,-2.05786,-2.06416
0.0,-2.05506,-2.06416
0.01,-2.05646,-2.06416
0.02,-2.05366,-2.05996
0.03,-2.05646,-2.06276
0.04,-2.05786,-2.06346
0.05,-2.05506,-2.06486
0.06,-2.05646,-2.06276
0.07,-2.05576,-2.06136
0.08,-2.05576,-2.06066
0.09,-2.04665,-2.06206
0.1,-2.05506,-2.05926
0.11,-2.05506,-2.05996
0.12,-2.05646,-2.06066
0.13,-2.05226,-2.05996
0.14,-2.05296,-2.06206
0.15,-2.05366,-2.06136
0.16,-2.05366,-2.05786
0.17,-2.05226,-2.05576
0.18,-2.05226,-2.05576
0.19,-2.05085,-2.05716
0.2,-2.05085,-2.05576
0.21,-2.05225,-2.05366
0.22,-2.05085,-2.05226
0.23,-2.04945,-2.05015
0.24,-2.04805,-2.04735
0.25,-2.04455,-2.04175
0.26,-2.03895,-2.03685
0.27,-2.03404,-2.02494
0.28,-2.02704,-2.01793
0.29,-2.01443,-2.00042
0.3,-2.00182,-1.98221
0.31,-1.98501,-1.9619
0.32,-1.9612,-1.93528
0.33,-1.93738,-1.90516
0.34,-1.90446,-1.87154
0.35,-1.87154,-1.83232
0.36,-1.83722,-1.78819
0.37,-1.79239,-1.73916
0.38,-1.74827,-1.69083
0.39,-1.69713,-1.6397
0.4,-1.6418,-1.57946
0.41,-1.58436,-1.53043
0.42,-1.52623,-1.46459
0.43,-1.46529,-1.39665
0.44,-1.39525,-1.33221
0.45,-1.3294,-1.26146
0.46,-1.25446,-1.18652
0.47,-1.18511,-1.11087
0.48,-1.10386,-1.03102
0.49,-1.02051,-0.95257
0.5,-0.93856,-0.86432
0.51,-0.85451,-0.78026
0.52,-0.76345,-0.6871
0.53,-0.66889,-0.59465
0.54,-0.57363,-0.49519
0.55,-0.47347,-0.39712
0.56,-0.36911,-0.29206
0.57,-0.26544,-0.18279
0.58,-0.15338,-0.07003
0.59,-0.04061,0.04624
0.6,0.08196,0.17232
0.61,0.20804,0.29559
0.62,0.33832,0.42657
0.63,0.4749,0.56666
0.64,0.61218,0.70744
0.65,0.75577,0.85593
0.66,0.91547,1.00442
0.67,1.07446,1.17042
0.68,1.23976,1.33642
0.69,1.41277,1.51013
0.7,1.59488,1.69434
0.71,1.78469,1.88555
0.72,1.98291,2.08377
0.73,2.18743,2.2946
0.74,2.40527,2.51243
0.75,2.628,2.74217
0.76,2.86965,2.97191
0.77,3.11129,3.22336
0.78,3.36835,3.47761
0.79,3.63801,3.75358
0.8,3.92098,4.03515
0.81,4.21236,4.32932
0.82,4.51914,4.63471
0.83,4.84273,4.9548
0.84,5.17123,5.2875
0.85,5.52354,5.63631
0.86,5.88146,5.99353
0.87,6.25548,6.36685
0.88,6.64352,6.75909
0.89,7.04416,7.15833
0.9,7.45951,7.57438
0.91,7.89727,8.00094
0.92,8.33714,8.4408
0.93,8.79241,8.89328
0.94,9.25959,9.35974
0.95,9.74288,9.83463
0.96,10.23178,10.32213
0.97,10.73819,10.82153
0.98,11.25228,11.34124
0.99,11.77621,11.85325
1.0,12.31063,12.38627
1.01,12.85906,12.9305
1.02,13.4152,13.47403
1.03,13.97343,14.03227
1.04,14.54567,14.594
1.05,15.12281,15.16415
1.06,15.70137,15.74269
1.07,16.29391,16.32544
1.08,16.88858,16.9138
1.09,17.48534,17.50915
1.1,18.0884,18.10802
