Voltage (V),Forward Scan (mA),Reverse Scan (mA)
-0.2,-2.00738,-2.01927
-0.19,-2.00808,-2.02346
-0.18,-2.00738,-2.02346
-0.17,-2.00808,-2.02206
-0.16,-2.00878,-2.02206
-0.15,-2.00668,-2.02276
-0.14,-2.00528,-2.02136
-0.13,-2.00598,-2.01997
-0.12,-2.00738,-2.02136
-0.11,-2.00668,-2.01997
-0.1,-2.00598,-2.01997
-0.09,-2.00528,-2.02136
-0.08,-2.00668,-2.02067
-0.07,-2.00808,-2.01857
-0.06,-2.00598,-2.02137
-0.05,-2.00668,-2.02276
-0.04,-2.01018,-2.01927
-0.03,-2.00948,-2.01787
-0.02,-2.00738,-2.01927
-0.01,-2.00458,-2.01647
0.0,-2.00948,-2.01857
0.01,-2.00668,-2.01787
0.02,-2.00948,-2.01927
0.03,-2.00528,-2.01717
0.04,-2.00598,-2.01577
0.05,-2.00598,-2.01717
0.06,-2.00738,-2.01647
0.07,-2.00598,-2.01577
0.08,-2.00598,-2.01647
0.09,-2.00248,-2.01577
0.1,-2.00598,-2.01717
0.11,-2.00458,-2.01647
0.12,-2.00668,-2.01717
0.13,-2.00668,-2.01577
0.14,-2.00738,-2.01577
0.15,-2.00388,-2.01507
0.16,-2.00528,-2.01157
0.17,-2.00598,-2.01437
0.18,-2.00318,-2.01507
0.19,-2.00528,-2.01157
0.2,-2.00388,-2.01507
0.21,-2.00318,-2.01437
0.22,-2.00108,-2.00668
0.23,-2.00108,-2.00598
0.24,-1.99689,-2.00178
0.25,-1.99479,-2.00039
0.26,-1.99409,-1.99339
0.27,-1.9892,-1.9885
0.28,-1.9836,-1.97521
0.29,-1.97381,-1.96612
0.3,-1.96123,-1.94724
0.31,-1.94235,-1.92347
0.32,-1.92207,-1.90179
0.33,-1.89759,-1.86753
0.34,-1.87032,-1.83326
0.35,-1.83676,-1.7983
0.36,-1.80179,-1.75634
0.37,-1.76124,-1.70949
0.38,-1.71229,-1.66054
0.39,-1.66194,-1.61159
0.4,-1.61369,-1.55425
0.41,-1.55425,-1.49622
0.42,-1.49761,-1.43678
0.43,-1.43608,-1.37175
0.44,-1.37035,-1.30112
0.45,-1.29832,-1.23259
0.46,-1.2277,-1.15847
0.47,-1.15707,-1.08435
0.48,-1.07875,-1.00673
0.49,-0.99764,-0.92282
0.5,-0.91582,-0.8389
0.51,-0.82911,-0.7529
0.52,-0.74241,-0.66199
0.53,-0.6494,-0.56829
0.54,-0.5536,-0.47109
0.55,-0.45151,-0.3718
0.56,-0.35152,-0.2697
0.57,-0.24313,-0.16341
0.58,-0.13265,-0.04664
0.59,-0.02146,0.07224
0.6,0.1065,0.19111
0.61,0.22747,0.31978
0.62,0.35404,0.45124
0.63,0.49039,0.5834
0.64,0.63234,0.72535
0.65,0.77569,0.86939
0.66,0.93093,1.02813
0.67,1.08896,1.18965
0.68,1.25539,1.35398
0.69,1.42391,1.5295
0.7,1.60781,1.7141
0.71,1.80011,1.9036
0.72,1.98961,2.10009
0.73,2.20078,2.30568
0.74,2.41476,2.52454
0.75,2.63992,2.74971
0.76,2.87417,2.98815
0.77,3.12031,3.23289
0.78,3.37554,3.49022
0.79,3.64686,3.76083
0.8,3.92796,4.04683
0.81,4.22375,4.33702
0.82,4.53072,4.6447
0.83,4.84749,4.96496
0.84,5.18173,5.29641
0.85,5.52437,5.64254
0.86,5.88378,6.00546
0.87,6.25719,6.37607
0.88,6.64878,6.76276
0.89,7.05015,7.16483
0.9,7.46621,7.57879
0.91,7.89905,8.00884
0.92,8.34448,8.44867
0.93,8.79691,8.89619
0.94,9.26681,9.3647
0.95,9.7486,9.8395
0.96,10.23808,10.33248
0.97,10.74573,10.83175
0.98,11.2569,11.34151
0.99,11.78554,11.86805
1.0,12.32047,12.39669
1.01,12.87149,12.93583
1.02,13.42531,13.48544
1.03,13.98682,14.04344
1.04,14.56091,14.61265
1.05,15.14269,15.17765
1.06,15.72168,15.76083
1.07,16.31183,16.3468
1.08,16.90692,16.93979
1.09,17.50898,17.53275
1.1,18.11663,18.13342
