Voltage (V),Forward Scan (mA),Reverse Scan (mA)
-0.2,-1.44107,-1.53192
-0.19,-1.43967,-1.52493
-0.18,-1.43967,-1.52563
-0.17,-1.44177,-1.52284
-0.16,-1.43897,-1.52214
-0.15,-1.43688,-1.52074
-0.14,-1.43827,-1.51585
-0.13,-1.43688,-1.51235
-0.12,-1.43688,-1.50886
-0.11,-1.43967,-1.51026
-0.1,-1.43967,-1.50327
-0.09,-1.43757,-1.49977
-0.08,-1.43897,-1.50117
-0.07,-1.43897,-1.49558
-0.06,-1.43757,-1.49278
-0.05,-1.43618,-1.48719
-0.04,-1.43827,-1.48719
-0.03,-1.43618,-1.4858
-0.02,-1.43408,-1.48021
-0.01,-1.43688,-1.47811
0.0,-1.43268,-1.47392
0.01,-1.43408,-1.47322
0.02,-1.43478,-1.46972
0.03,-1.43478,-1.46413
0.04,-1.43268,-1.46483
0.05,-1.43268,-1.46203
0.06,-1.43338,-1.45854
0.07,-1.43338,-1.45575
0.08,-1.42779,-1.45365
0.09,-1.42639,-1.45015
0.1,-1.42709,-1.44736
0.11,-1.425,-1.44456
0.12,-1.4243,-1.43967
0.13,-1.4236,-1.43687
0.14,-1.4222,-1.43408
0.15,-1.4208,-1.43059
0.16,-1.4194,-1.43128
0.17,-1.41731,-1.4229
0.18,-1.4194,-1.4229
0.19,-1.41311,-1.4194
0.2,-1.41311,-1.41731
0.21,-1.41311,-1.41102
0.22,-1.41451,-1.40892
0.23,-1.40892,-1.40473
0.24,-1.40822,-1.40193
0.25,-1.40682,-1.39774
0.26,-1.40263,-1.39634
0.27,-1.40333,-1.38795
0.28,-1.40193,-1.38726
0.29,-1.39774,-1.38516
0.3,-1.39704,-1.38306
0.31,-1.39355,-1.37607
0.32,-1.39285,-1.37468
0.33,-1.39215,-1.37188
0.34,-1.38865,-1.36489
0.35,-1.38516,-1.36279
0.36,-1.38236,-1.3572
0.37,-1.38027,-1.35301
0.38,-1.38027,-1.35022
0.39,-1.37258,-1.34602
0.4,-1.37258,-1.34043
0.41,-1.37188,-1.33414
0.42,-1.36489,-1.32785
0.43,-1.3593,-1.32436
0.44,-1.3572,-1.31318
0.45,-1.35371,-1.31038
0.46,-1.35091,-1.30129
0.47,-1.34532,-1.29291
0.48,-1.34043,-1.28941
0.49,-1.33764,-1.27683
0.5,-1.33204,-1.26635
0.51,-1.32855,-1.25796
0.52,-1.32366,-1.24189
0.53,-1.31877,-1.22582
0.54,-1.31038,-1.21533
0.55,-1.30619,-1.19926
0.56,-1.2978,-1.18179
0.57,-1.29151,-1.16362
0.58,-1.28592,-1.14475
0.59,-1.28033,-1.12797
0.6,-1.27474,-1.10631
0.61,-1.26425,-1.08185
0.62,-1.25307,-1.05809
0.63,-1.24608,-1.03293
0.64,-1.2363,-1.00427
0.65,-1.22652,-0.97143
0.66,-1.21324,-0.94347
0.67,-1.19856,-0.91482
0.68,-1.18388,-0.88267
0.69,-1.16921,-0.84913
0.7,-1.15593,-0.80579
0.71,-1.13916,-0.76386
0.72,-1.11819,-0.73451
0.73,-1.10421,-0.69328
0.74,-1.07835,-0.65134
0.75,-1.0518,-0.60732
0.76,-1.02734,-0.57028
0.77,-0.99519,-0.52555
0.78,-0.96164,-0.48082
0.79,-0.93019,-0.43609
0.8,-0.88617,-0.38438
0.81,-0.84144,-0.34035
0.82,-0.78972,-0.28793
0.83,-0.73731,-0.23482
0.84,-0.6786,-0.1831
0.85,-0.61361,-0.123
0.86,-0.54512,-0.0608
0.87,-0.46824,0.0035
0.88,-0.38997,0.07618
0.89,-0.29772,0.14606
0.9,-0.20057,0.2446
0.91,-0.08806,0.32917
0.92,0.02726,0.4298
0.93,0.14606,0.52904
0.94,0.27605,0.64296
0.95,0.40674,0.76036
0.96,0.54791,0.88476
0.97,0.69187,1.01335
0.98,0.84632,1.14963
0.99,0.99658,1.2915
1.0,1.15452,1.44385
1.01,1.33343,1.59621
1.02,1.49697,1.75205
1.03,1.66889,1.91628
1.04,1.84291,2.08052
1.05,2.01343,2.24964
1.06,2.20072,2.41667
1.07,2.38313,2.58859
1.08,2.56553,2.7661
1.09,2.76191,2.93802
1.1,2.9527,3.10715
