Wavelength (nm),Current (A)
299.97,0.011970414207999998
305.027,0.011837041437999997
310.002,0.012270697527999998
314.976,0.012304665306000004
320.03,0.012252346466
325.003,0.012349730874000002
329.975,0.012336692498000004
335.027,0.013489462348000003
339.997,0.016117723128
344.967,0.021113741681999997
350.016,0.028054780572000008
354.984,0.037355536538
360.032,0.04835591340800001
364.999,0.060581709168000014
369.964,0.07391459907
375.009,0.08980189378
379.973,0.11304535817999999
385.016,0.14807728114000004
389.978,0.19283660960000001
395.02,0.24892727168000006
399.98,0.30888435312
405.019,0.37871425214000004
409.978,0.45648136438000003
415.015,0.5427334852400001
419.972,0.63305821838
425.007,0.64239014692
429.962,0.7394157941600001
434.995,0.8310846109
440.028,0.9011654026200001
444.979,0.9937064893199996
450.01,1.0802619072000004
455.039,1.1470931808000002
459.987,1.2337439456000001
465.014,1.3324066656
469.961,1.4089039278000002
474.985,1.4746995639999998
480.009,1.5516332146000005
485.032,1.6304346330000001
489.973,1.6941667747999998
494.994,1.7515364408000003
500.013,1.8152493111999997
505.031,1.8813920549999998
509.968,1.9367832686
514.983,1.9767296761999995
519.997,2.0128030922000004
525.01,2.0584240767999997
530.022,2.1129976224000004
535.033,2.1600810664
539.962,2.1957394114
544.97,2.2144329173999995
549.977,2.2236225942
554.982,2.2295658628
559.986,2.2478835005999995
564.989,2.3350635004000004
569.99,2.368904252
574.99,2.3688478908000006
579.989,2.3822665882000003
584.986,2.413720259
589.982,2.4510208223999994
594.976,2.4911394598
599.969,2.5231544974
604.961,2.5319086299999993
610.03,2.5177851200000005
615.018,2.4797271442
620.005,2.4365532009999997
624.991,2.3930782884
629.975,2.3605127049999997
635.037,2.3378251017999996
640.018,2.3280589058000003
644.998,2.3184879872
649.976,2.3021741770000004
655.031,2.278053551000001
660.006,2.242649498
664.979,2.1961892792
670.03,2.1456024888000003
675.0,2.0884020093999998
679.968,2.0381337980000005
684.981,2.0334096142
690.022,2.0943140414000005
694.982,2.1516331196
700.02,2.2115122986
704.977,2.2610405016
710.01,2.3007145731999996
714.964,2.3252979415999997
719.994,2.3401972762000005
725.023,2.3338871566
729.971,2.3277047254000003
734.996,2.3175803135999997
740.02,2.3038463584
744.963,2.289038982
749.982,2.2720525789999995
755.0,2.2497573517999996
760.016,2.2190853216
765.03,2.1773488088
769.964,2.1250778148000014
774.974,2.035747404
779.982,1.8600781147999998
784.989,1.613269491
789.993,1.2905234951999998
794.996,0.9217101579800004
799.996,0.5932915504
804.995,0.35376824096
809.991,0.19968966234
814.986,0.11173791201999995
819.979,0.06321954141
824.969,0.03754647182600001
830.036,0.023598343084000006
835.022,0.016912981858
840.007,0.013198332862
844.989,0.011260860363799996
849.969,0.010624047316400004
