Wavelength (nm),Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10
350.0,8.519258699200001e-08,8.549851273200002e-08,8.555030504399999e-08,8.564665392199998e-08,8.577432439200001e-08,8.55924543e-08,8.512514569399998e-08,8.552862155799997e-08,8.546358146200003e-08,8.563942415399998e-08
360.0,1.2420880640000002e-07,1.2442018456e-07,1.2445020919999993e-07,1.2461834801999999e-07,1.247888895e-07,1.2430489123999998e-07,1.2448383394e-07,1.24177582e-07,1.2457871272e-07,1.2460273558e-07
370.0,1.6338573376e-07,1.631331648e-07,1.6334541752000005e-07,1.6454897948e-07,1.637580661e-07,1.6339996140000007e-07,1.6299087040000002e-07,1.6409838366e-07,1.6362882029999998e-07,1.6370233707999996e-07
380.0,2.2018930568000004e-07,2.2040167688000003e-07,2.1990839198e-07,2.2110508406e-07,2.2048145782000004e-07,2.2110171129999999e-07,2.2002637478e-07,2.2076798732e-07,2.2033538095999998e-07,2.2066461033999996e-07
390.0,3.332365617000001e-07,3.337655841000001e-07,3.3501926284000005e-07,3.3516125029999993e-07,3.3514442175999996e-07,3.3333647307999994e-07,3.3302305554e-07,3.334469112800001e-07,3.3336696734e-07,3.3362360736e-07
400.0,4.7509230339999997e-07,4.749476675600001e-07,4.7660349078000006e-07,4.763790526e-07,4.797814773400001e-07,4.7666234250000006e-07,4.768558568800001e-07,4.7980741274e-07,4.776947446e-07,4.7681396146000005e-07
410.0,6.309968068600001e-07,6.3103613676e-07,6.341715709e-07,6.328824883e-07,6.350424735e-07,6.338502623800001e-07,6.302621023e-07,6.3104092526e-07,6.313890958400006e-07,6.299014581000003e-07
420.0,7.992745485999999e-07,7.9799828882e-07,7.9511064994e-07,7.9986193334e-07,7.9996805762e-07,7.9745557058e-07,8.004632877200002e-07,7.9999319154e-07,7.976268568400001e-07,8.018298411000001e-07
430.0,9.709301189399998e-07,9.688699636799997e-07,9.7109000942e-07,9.718248612399998e-07,9.694558590199998e-07,9.682232190199999e-07,9.678944067999999e-07,9.721736757399998e-07,9.7351802218e-07,9.7396676424e-07
440.0,1.1384676137799995e-06,1.13904940202e-06,1.13237652124e-06,1.1303225210799998e-06,1.1383115419799998e-06,1.1305752678e-06,1.13391170598e-06,1.1372410650400002e-06,1.1323924958399998e-06,1.1371807457600001e-06
450.0,1.2923502068e-06,1.2874439945999999e-06,1.2924823248000003e-06,1.2951913774000002e-06,1.2920929516e-06,1.2983341615999995e-06,1.2956946318e-06,1.2930559557999997e-06,1.2904459486e-06,1.2959692658000001e-06
460.0,1.4368077083999998e-06,1.4330814083999999e-06,1.4374790179999995e-06,1.4371373752e-06,1.4402222908000001e-06,1.4343206612e-06,1.43602113e-06,1.4325826331999998e-06,1.4401436968000005e-06,1.436040757e-06
470.0,1.5614463050000001e-06,1.5639145179999997e-06,1.5627750872000004e-06,1.5634076338000002e-06,1.5592394858e-06,1.5658482116e-06,1.5669868391999995e-06,1.5622019991999997e-06,1.5636723950000005e-06,1.5603127279999995e-06
480.0,1.6643361846000003e-06,1.6670534716000006e-06,1.6663721007999996e-06,1.6699404904000003e-06,1.6690779080000002e-06,1.6663417434000007e-06,1.6622904349999999e-06,1.6667295822000002e-06,1.6641303566000001e-06,1.6635867654000007e-06
490.0,1.8259038233999998e-06,1.8290129629999999e-06,1.8294709091999998e-06,1.8284264863999995e-06,1.8378904637999992e-06,1.8305233423999997e-06,1.8324836378000005e-06,1.8315436476e-06,1.8275025767999994e-06,1.8282175744000002e-06
500.0,1.9097773166e-06,1.9264045294e-06,1.917050239e-06,1.9267658036e-06,1.9301588031999992e-06,1.9129032372000003e-06,1.9286900828e-06,1.9208830602e-06,1.9204039406e-06,1.9286900760000003e-06
510.0,2.0072890989999998e-06,2.0014326395999995e-06,1.9931488497999994e-06,2.0010396432e-06,1.9950753078e-06,2.0011475128e-06,2.003906238e-06,2.0111420506e-06,2.0076667225999997e-06,1.9933722614e-06
520.0,2.0515109057999996e-06,2.0549117948000004e-06,2.060575013799999e-06,2.0571966897999995e-06,2.0572720906000004e-06,2.0620077318000007e-06,2.067248624399999e-06,2.0589989926000003e-06,2.053320695199999e-06,2.0604015668e-06
530.0,2.1070105360000004e-06,2.1025745171999995e-06,2.1065765114000006e-06,2.0991390512000004e-06,2.1001836466e-06,2.0997422600000004e-06,2.0957034934000003e-06,2.0975131748e-06,2.107893342e-06,2.1063778813999994e-06
540.0,2.1360611574e-06,2.1301636262000005e-06,2.1335120599999997e-06,2.1225594825999996e-06,2.1271464476e-06,2.1285578306000004e-06,2.1226963197999997e-06,2.1180372686000004e-06,2.1316830248000007e-06,2.1299475857999996e-06
550.0,2.1194336434e-06,2.123105232799999e-06,2.1243009886e-06,2.1298083698e-06,2.1303570046e-06,2.1263829674e-06,2.136750634e-06,2.1393671746e-06,2.1355197282000007e-06,2.1318129536e-06
560.0,2.1080669858e-06,2.1098068485999987e-06,2.1058388593999997e-06,2.0939694038e-06,2.1074412192e-06,2.1110721441999995e-06,2.1024141712e-06,2.0919613839999997e-06,2.0951866396e-06,2.0965000980000007e-06
570.0,2.1500794416000003e-06,2.1581327126e-06,2.147771797e-06,2.1702630392000002e-06,2.1522189173999993e-06,2.1530330167999996e-06,2.1576079274000003e-06,2.1617993914e-06,2.1685945051999986e-06,2.1618801198e-06
580.0,2.1589171778e-06,2.1529444326e-06,2.1546894688000004e-06,2.1530365959999997e-06,2.155018723999999e-06,2.1560789470000004e-06,2.1542680360000004e-06,2.1510478899999997e-06,2.1518315068e-06,2.1594242476e-06
590.0,2.1790577969999993e-06,2.1897248922e-06,2.1743304707999996e-06,2.1787740572e-06,2.1856425406000005e-06,2.1825855672e-06,2.1800639183999997e-06,2.1799413482000007e-06,2.1894798557999996e-06,2.1811022770000007e-06
600.0,2.1663762798e-06,2.1619910687999998e-06,2.1746348831999996e-06,2.1786346574e-06,2.1646196742e-06,2.1760566062000007e-06,2.164088901e-06,2.1627809326e-06,2.1682845436e-06,2.1645375201999997e-06
610.0,2.1204555852e-06,2.139953359800001e-06,2.1198250378e-06,2.1224153096000006e-06,2.124708774000001e-06,2.132701995e-06,2.1237629564e-06,2.1352612978e-06,2.124622221600001e-06,2.1303095902e-06
620.0,2.0713332124000005e-06,2.0676404894e-06,2.0768086115999998e-06,2.0637719282000004e-06,2.0799858834e-06,2.0691078912000007e-06,2.0713150502e-06,2.070375169e-06,2.0666945892000004e-06,2.0756807632000002e-06
630.0,2.005952979e-06,2.0139878456e-06,2.0164972516000004e-06,2.0080928285999997e-06,2.0013931276e-06,2.0112579138000004e-06,2.0075027306000002e-06,2.0082537794e-06,2.0146375694000003e-06,2.0215339803999995e-06
640.0,1.9312995593999997e-06,1.9429707428e-06,1.9338684796000004e-06,1.9357426528e-06,1.9294837899999998e-06,1.9263134661999997e-06,1.919435677e-06,1.9346099879999995e-06,1.9239605442000003e-06,1.9328292428000005e-06
650.0,1.8584374921999994e-06,1.8581156809999992e-06,1.8586271372000003e-06,1.8515989085999994e-06,1.8519896981999998e-06,1.8537826916e-06,1.8523172657999996e-06,1.8507311572e-06,1.8538401285999998e-06,1.8433638796e-06
660.0,1.7730171352e-06,1.7686513756e-06,1.7728982212e-06,1.7729605068000007e-06,1.767552821e-06,1.7787758686000002e-06,1.7746819118000002e-06,1.7677283783999997e-06,1.7820657437999995e-06,1.7699140744000005e-06
670.0,1.6916366349999998e-06,1.7142995355999995e-06,1.7050996887999999e-06,1.6996247133999996e-06,1.7030522033999999e-06,1.7022892914e-06,1.6955745404000008e-06,1.6880688842e-06,1.7051109288000004e-06,1.7082635416000005e-06
680.0,1.6230629898000005e-06,1.6127743623999999e-06,1.6233841506000001e-06,1.6133114806000005e-06,1.6219997968000002e-06,1.6222157335999995e-06,1.6241040172e-06,1.6221271288000004e-06,1.6212134523999998e-06,1.6172320434e-06
690.0,1.6345819135999995e-06,1.6407740572000002e-06,1.6316570942e-06,1.6493854128000004e-06,1.6405293972000006e-06,1.6301784152e-06,1.6373001196000003e-06,1.6429377455999994e-06,1.6430029976000004e-06,1.6424973934000002e-06
700.0,1.6935622060000003e-06,1.6875750591999995e-06,1.6896812485999997e-06,1.6899699224000002e-06,1.6921563021999997e-06,1.6928618985999994e-06,1.6987581510000003e-06,1.688072183e-06,1.6864471033999998e-06,1.6837956849999994e-06
710.0,1.7179391282e-06,1.7210992608000004e-06,1.7331665258000002e-06,1.7327669291999999e-06,1.7248640264e-06,1.7307635966000003e-06,1.7273826353999999e-06,1.7277980282e-06,1.7302483003999995e-06,1.7246431865999997e-06
720.0,1.7414182160000002e-06,1.7505949768e-06,1.7383195766000002e-06,1.7559165808000004e-06,1.7537091940000006e-06,1.739925913e-06,1.7453045079999997e-06,1.7497348328000003e-06,1.7487606981999996e-06,1.7463356564000004e-06
730.0,1.746637526e-06,1.7403820462e-06,1.7498442799999999e-06,1.7481414784000002e-06,1.7555797731999997e-06,1.7481976055999995e-06,1.7497117370000003e-06,1.744639048e-06,1.7548303114000008e-06,1.7503949016000003e-06
740.0,1.7197341455999997e-06,1.7241419272e-06,1.7141543101999994e-06,1.7234256350000002e-06,1.7202149884e-06,1.7182715604000004e-06,1.7250435142e-06,1.7221884671999997e-06,1.7238163510000002e-06,1.731770346e-06
750.0,1.692198934e-06,1.6939219898000002e-06,1.6956598962000003e-06,1.6977236414e-06,1.6877702656000002e-06,1.6895525709999995e-06,1.6952155422000005e-06,1.6929543020000002e-06,1.6891033029999994e-06,1.6821418784e-06
760.0,1.6303978819999998e-06,1.6297235333999996e-06,1.6339880906e-06,1.6309558560000003e-06,1.6272152288000002e-06,1.6295197878000005e-06,1.6327218276000002e-06,1.6275742677999998e-06,1.6411830872e-06,1.6352349650000001e-06
770.0,1.5746232324e-06,1.5726665339999993e-06,1.5802110753999998e-06,1.5783261320000003e-06,1.5737333959999995e-06,1.5757762186e-06,1.5729105302e-06,1.5780486369999997e-06,1.574604098e-06,1.5769626589999996e-06
780.0,1.4866299446000005e-06,1.4858621734e-06,1.4830737134000004e-06,1.4833327548e-06,1.4879629037999997e-06,1.4802664262000002e-06,1.4837331340000002e-06,1.4819809302000002e-06,1.4846092402000006e-06,1.4757823147999999e-06
