Wavelength (nm),Power Measurements (W)
299.97,6.160282187250004e-08
305.027,5.7477833389999985e-08
310.002,5.519283281400006e-08
314.976,5.3817045538e-08
320.03,5.2082620209000035e-08
325.003,5.0936610998e-08
329.975,5.068708969649998e-08
335.027,5.230872107150001e-08
339.997,5.889712822349999e-08
344.967,6.985914051649999e-08
350.016,8.519379210950003e-08
354.984,1.0341868949200002e-07
360.032,1.23342887245e-07
364.999,1.4245255192499997e-07
369.964,1.6174521541499996e-07
375.009,1.8371743339999986e-07
379.973,2.18879405115e-07
385.016,2.6735469336000007e-07
389.978,3.297358315749999e-07
395.02,3.970832471949998e-07
399.98,4.685084046199998e-07
405.019,5.415179077499998e-07
409.978,6.210219363649998e-07
415.015,6.983194751499998e-07
419.972,7.850071890100001e-07
425.007,7.691963469350001e-07
429.962,8.715221892649999e-07
434.995,9.57175897125e-07
440.028,1.0190436862149998e-06
444.979,1.1111419934950001e-06
450.01,1.1839398251400003e-06
455.039,1.2355914525100002e-06
459.987,1.3120463601000004e-06
465.014,1.3931893627499992e-06
469.961,1.4473849788000006e-06
474.985,1.4931681719500006e-06
480.009,1.5341090573999984e-06
485.032,1.5794366380000006e-06
489.973,1.7052500460999993e-06
494.994,1.7430514797000009e-06
500.013,1.78557594535e-06
505.031,1.8291377953000019e-06
509.968,1.8710065872999975e-06
514.983,1.89111960245e-06
519.997,1.90892695515e-06
525.01,1.9226274851500007e-06
530.022,1.9546961890499997e-06
535.033,1.9747199628999993e-06
539.962,1.9826061323000005e-06
544.97,1.9722160375999983e-06
549.977,1.9687349270500013e-06
554.982,1.949673408650001e-06
559.986,1.949202732949999e-06
564.989,2.002271989e-06
569.99,2.0091930702000012e-06
574.99,1.9970204191999995e-06
579.989,1.9864539763499994e-06
584.986,1.9911004460000004e-06
589.982,2.000912834800001e-06
594.976,2.01138680215e-06
599.969,2.0171625035000005e-06
604.961,2.008612495e-06
610.03,1.976750882100001e-06
615.018,1.929137217700001e-06
620.005,1.8813240556999999e-06
624.991,1.8390099495499995e-06
629.975,1.8078898232999987e-06
635.037,1.7795229815499996e-06
640.018,1.7630552202000005e-06
644.998,1.746275357750001e-06
649.976,1.7279053366999991e-06
655.031,1.694061771500001e-06
660.006,1.6611491344500017e-06
664.979,1.6143169227999997e-06
670.03,1.5664578153499999e-06
675.0,1.5171454482e-06
679.968,1.4709888977500003e-06
684.981,1.4678934587499998e-06
690.022,1.5022151524000004e-06
694.982,1.5375028444499994e-06
700.02,1.5650525031499996e-06
704.977,1.593267415450001e-06
710.01,1.6032262265999994e-06
714.964,1.6183612552500007e-06
719.994,1.6157195508500008e-06
725.023,1.6103329180999993e-06
729.971,1.6018935825499998e-06
734.996,1.5918396436499998e-06
740.02,1.5673468139999996e-06
744.963,1.5575839490000005e-06
749.982,1.5381266320000006e-06
755.0,1.5178122032e-06
760.016,1.494631130300001e-06
765.03,1.4639424917000005e-06
769.964,1.438729208049999e-06
774.974,1.4029499958499996e-06
779.982,1.3451882111350011e-06
784.989,1.2957935973799996e-06
789.993,1.2664613222349997e-06
794.996,1.235799439005e-06
799.996,1.2136817911199996e-06
804.995,1.2002503520650001e-06
809.991,1.1766311278450005e-06
814.986,1.1595716177899998e-06
819.979,1.1304901471099999e-06
824.969,1.1048283784799998e-06
830.036,1.0978607008950003e-06
835.022,1.0940177264049999e-06
840.007,1.0897988073050004e-06
844.989,1.0911322059750002e-06
849.969,1.10075175905e-06
