Wavelength (nm),Power Measurements (W)
350.018,8.648282537949996e-08
360.033,1.2481681386000005e-07
369.966,1.637491713250001e-07
379.975,2.199839567099999e-07
389.98,3.318979533100001e-07
399.982,4.7348710038999954e-07
409.98,6.273220819100004e-07
419.974,7.9428517809e-07
429.964,8.801963181099998e-07
440.03,1.0304522893149997e-06
450.011,1.1973356582650001e-06
459.989,1.3307784108000002e-06
469.962,1.4749003594500002e-06
480.011,1.57245857115e-06
489.975,1.7246038331499998e-06
500.015,1.8038662556999993e-06
509.97,1.8885374939499978e-06
519.999,1.9273152680999995e-06
530.024,1.971265050349999e-06
539.965,2.0024500753999996e-06
549.979,1.9878736176999994e-06
559.988,1.9686333272499996e-06
569.992,2.036057424050001e-06
579.991,2.0051246969000003e-06
589.984,2.0239883220999997e-06
599.971,2.038690414999999e-06
610.032,1.9948036030000013e-06
620.008,1.9027102089000007e-06
629.978,1.8241413899499997e-06
640.021,1.7770574431000007e-06
649.978,1.7415077980999987e-06
660.009,1.6741473705500008e-06
670.032,1.5807188940500007e-06
679.971,1.486455032249999e-06
690.025,1.5096508537999987e-06
700.022,1.5757919329499989e-06
710.013,1.6177214352499996e-06
719.997,1.6320353806499987e-06
729.974,1.6146415941999987e-06
740.022,1.5828328626499998e-06
749.985,1.5514274010999997e-06
760.019,1.5091508448500008e-06
769.967,1.45363890125e-06
779.985,1.3583709131e-06
789.996,1.2783680833999993e-06
799.999,1.2232619245550005e-06
809.995,1.192092473735e-06
819.982,1.1422298241450006e-06
830.039,1.1108015560400004e-06
840.01,1.0991135644149996e-06
849.972,1.1082558899399993e-06
