Wavelength (nm),Current (A)
350.016,4.43596634775e-09
354.984,6.227484949e-09
360.032,8.243879531e-09
364.999,1.0717629957499998e-08
369.964,1.3502907860999996e-08
375.009,1.6342562873e-08
379.973,2.0020961052499994e-08
385.016,2.6266883378000015e-08
389.978,3.518806186749999e-08
395.02,4.552289775599999e-08
399.98,5.466151641499998e-08
405.019,6.404051932999999e-08
409.978,7.646701801e-08
415.015,9.276375293999998e-08
419.972,1.09499694555e-07
425.007,1.0879030752499998e-07
429.962,1.2112630153500004e-07
434.995,1.31380941385e-07
440.028,1.437830836549999e-07
444.979,1.63459150175e-07
450.01,1.8013447022499998e-07
455.039,1.893539564349999e-07
459.987,1.9778132125e-07
465.014,2.0734567808500008e-07
469.961,2.1779503655999987e-07
474.985,2.3298969865000002e-07
480.009,2.5199297807999996e-07
485.032,2.6860195683499985e-07
489.973,2.761030948050001e-07
494.994,2.7771585103e-07
500.013,2.798462643299999e-07
505.031,2.8685094570000004e-07
509.968,2.990297195849999e-07
514.983,3.1367758701999995e-07
519.997,3.2828160784999987e-07
525.01,3.405653181000001e-07
530.022,3.473837678300001e-07
535.033,3.4682303621999995e-07
539.962,3.4169160793999994e-07
544.97,3.38154519555e-07
549.977,3.3967413827500005e-07
554.982,3.451043736799998e-07
559.986,3.592421243e-07
564.989,3.829409115199999e-07
569.99,3.9561837003500004e-07
574.99,3.9753544972499996e-07
579.989,3.945658695600002e-07
584.986,3.8978332682999994e-07
589.982,3.8501831315500005e-07
594.976,3.828261875849999e-07
599.969,3.842326266450001e-07
604.961,3.876652460099999e-07
610.03,3.9155477282999994e-07
615.018,3.9471732592499996e-07
620.005,3.9593814059999993e-07
624.991,3.946197747999999e-07
629.975,3.9142343949500015e-07
635.037,3.8576833389000005e-07
640.018,3.7774806688000003e-07
644.998,3.6764531754500005e-07
649.976,3.568888365999998e-07
655.031,3.4645971058500013e-07
660.006,3.3668213319500004e-07
664.979,3.2907624600999993e-07
670.03,3.2363754035999994e-07
675.0,3.2038244747e-07
679.968,3.2005572126999997e-07
684.981,3.2770931959000004e-07
690.022,3.4460744284e-07
694.982,3.5916173291e-07
700.02,3.7054377960000005e-07
704.977,3.766387641199998e-07
710.01,3.775305109000001e-07
714.964,3.738880894050001e-07
719.994,3.6713671443000007e-07
725.023,3.5927365920999995e-07
729.971,3.5186379049000005e-07
734.996,3.4508721873999995e-07
740.02,3.403151247450001e-07
744.963,3.3749774791999994e-07
749.982,3.361362282849999e-07
755.0,3.360622696949999e-07
760.016,3.353681294849999e-07
765.03,3.31999731275e-07
769.964,3.2269397734999985e-07
774.974,2.9915175365000004e-07
779.982,2.51418221225e-07
784.989,1.8740482721499997e-07
789.993,1.2340051591e-07
794.996,7.406421944000001e-08
799.996,4.2891694460999984e-08
804.995,2.3965015176500005e-08
809.991,1.3496527857000004e-08
814.986,7.677783934e-09
819.979,4.42079375825e-09
824.969,2.64529672585e-09
830.036,1.6929637448499998e-09
835.022,1.1737170147999997e-09
840.007,8.872040576500003e-10
844.989,7.336460978499996e-10
849.969,6.476836695500002e-10
