Wavelength (nm),Power (W)
350.016,9.155463921649997e-08
354.984,1.039008245165e-07
360.032,1.1724901845500003e-07
364.999,1.3031307692500002e-07
369.964,1.4300405546500003e-07
375.009,1.5758257712999999e-07
379.973,1.8107405896000003e-07
385.016,2.1357676975999996e-07
389.978,2.55290847555e-07
395.02,3.002848876950001e-07
399.98,3.476496471150001e-07
405.019,3.94532794655e-07
409.978,4.462671545e-07
415.015,4.9829680734e-07
419.972,5.546815724250002e-07
425.007,5.43606966105e-07
429.962,6.119121965450001e-07
434.995,6.662455430599999e-07
440.028,7.073359802399998e-07
444.979,7.684599313499997e-07
450.01,8.147515038250005e-07
455.039,8.527781474899998e-07
459.987,9.061229166750006e-07
465.014,9.613003672900003e-07
469.961,1.0015865595249996e-06
474.985,1.035493326195e-06
480.009,1.0723276163950002e-06
485.032,1.1130713572749994e-06
489.973,1.1427835509000006e-06
494.994,1.1655063864999993e-06
500.013,1.1910738990550002e-06
505.031,1.2158136989000002e-06
509.968,1.2354579730500001e-06
514.983,1.2449890016500003e-06
519.997,1.2517122793499993e-06
525.01,1.2642302695500002e-06
530.022,1.2784086401999996e-06
535.033,1.2882870862499992e-06
539.962,1.290772999e-06
544.97,1.2846546569499998e-06
549.977,1.2781238073500001e-06
554.982,1.2653472824500004e-06
559.986,1.2666926399999996e-06
564.989,1.2937776869999996e-06
569.99,1.299623306650001e-06
574.99,1.287296718049999e-06
579.989,1.3010931114000005e-06
584.986,1.3152336226499994e-06
589.982,1.3117260329999995e-06
594.976,1.3161888575500002e-06
599.969,1.3164525720499994e-06
604.961,1.3075184150500001e-06
610.03,1.2838990657000003e-06
615.018,1.2563246259100001e-06
620.005,1.22420419904e-06
624.991,1.1967336749950008e-06
629.975,1.1747239867849998e-06
635.037,1.1570324551700006e-06
640.018,1.1445410206450003e-06
644.998,1.1354353219099996e-06
649.976,1.1196219515599993e-06
655.031,1.0992394656900006e-06
660.006,1.0767159152600002e-06
664.979,1.0486665009599999e-06
670.03,1.0174732111700007e-06
675.0,9.846732387949997e-07
679.968,9.558963966749996e-07
684.981,9.393284743749999e-07
690.022,9.58406066829999e-07
694.982,9.775909265599994e-07
700.02,9.936474425699996e-07
704.977,1.0079778461299999e-06
710.01,1.016122461115e-06
714.964,1.0218227415299999e-06
719.994,1.02096745286e-06
725.023,1.0151586540050002e-06
729.971,1.00975544812e-06
734.996,1.0013921293600004e-06
740.02,9.909348946149998e-07
744.963,9.826147483349995e-07
749.982,9.728051008649997e-07
755.0,9.607328777300002e-07
760.016,9.477122262099994e-07
765.03,9.328934033399997e-07
769.964,9.186407900750008e-07
774.974,8.971195979050002e-07
779.982,8.628705560900002e-07
784.989,8.369704411799999e-07
789.993,8.190038366400003e-07
794.996,8.0314593049e-07
799.996,7.875150575399993e-07
804.995,7.841305989649997e-07
809.991,7.704602276499998e-07
814.986,7.575175479450004e-07
819.979,7.39404779895e-07
824.969,7.262878383900002e-07
830.036,7.220420946299998e-07
835.022,7.191578839599998e-07
840.007,7.149753843850007e-07
844.989,7.173339907049997e-07
849.969,7.215369987650002e-07
