Wavelength (nm),Power (W)
349.973,1.04692247299e-07
359.99,1.1814729628099996e-07
370.003,1.3288632010899997e-07
380.013,1.5533997945500012e-07
390.019,1.9991306948399988e-07
400.022,2.5829571644e-07
410.021,3.2685748380999996e-07
420.016,4.1013397068999974e-07
430.007,4.5860847733999985e-07
439.994,5.465430221799997e-07
449.977,6.352318516299996e-07
460.035,7.244707083200002e-07
470.01,8.169849525000003e-07
479.98,9.029902398400005e-07
490.025,9.796983497400001e-07
499.985,1.0511733438999998e-06
510.021,1.11073601942e-06
519.972,1.16053409557e-06
529.998,1.2122370185300004e-06
540.019,1.2458017414999998e-06
550.034,1.2561280692900001e-06
559.965,1.2797029814099996e-06
569.97,1.3199963387899996e-06
579.97,1.3264569855399997e-06
589.964,1.35379747689e-06
600.032,1.3737040644000011e-06
610.014,1.3559036500400002e-06
619.991,1.31698543667e-06
629.962,1.2831968223200001e-06
640.006,1.2677192659999993e-06
649.964,1.2534508908900003e-06
659.996,1.2141263335400005e-06
670.021,1.1562514535299998e-06
680.039,1.0980131611799997e-06
690.015,1.15813301107e-06
700.014,1.2148481101599999e-06
710.006,1.2554082877099995e-06
719.99,1.2700011683300003e-06
729.968,1.2673019329600006e-06
740.018,1.2489144580000002e-06
749.981,1.234530997770001e-06
760.016,1.2041746532100001e-06
769.965,1.1681247477500006e-06
779.985,1.0990564442499996e-06
789.997,1.0463004173099992e-06
800.001,1.0031956432e-06
809.997,9.876519533400005e-07
819.985,9.539538857099991e-07
829.966,9.358221803000003e-07
840.015,9.327647261799999e-07
849.979,9.499892877199999e-07
