Wavelength (nm),Current (A)
350.005,6.507999440222218e-09
360.018,1.0228182046999991e-08
370.028,1.4896180458888888e-08
380.034,2.4942693486666663e-08
390.036,4.414064203333334e-08
400.035,6.868815529333333e-08
410.031,9.752367345555555e-08
420.022,1.3004689663333338e-07
430.009,1.506153174555556e-07
439.993,1.8605409396666664e-07
449.972,2.215177071e-07
460.026,2.614627583777777e-07
469.997,2.971406930444445e-07
479.963,3.330285668e-07
490.005,3.662206116888888e-07
499.962,3.9735792562222225e-07
509.993,4.224790639e-07
520.02,4.435318766444441e-07
529.963,4.680715402222222e-07
539.98,4.823425255666665e-07
549.992,4.943377944777778e-07
559.998,5.008588160444444e-07
570.0,5.187718327777778e-07
579.995,5.259672684111109e-07
589.986,5.371530109111112e-07
599.97,5.452806101555555e-07
610.028,5.393828857888889e-07
620.001,5.250009091666666e-07
629.968,5.173605738444445e-07
640.008,5.181600400666671e-07
649.963,5.14414268066667e-07
659.991,4.980141899444442e-07
670.012,4.739169565333333e-07
680.026,4.526296127888889e-07
690.032,5.051615687222222e-07
700.032,5.316495703888889e-07
710.026,5.488268947222222e-07
720.012,5.541112390666666e-07
729.991,5.524673901444442e-07
739.964,5.480420425111111e-07
750.007,5.414439312333334e-07
759.965,5.303933725777777e-07
769.994,5.111443561777782e-07
780.015,4.854121001444444e-07
790.028,4.7250027069999984e-07
800.034,4.578856070777778e-07
810.032,4.4547700881111106e-07
820.021,4.2802999047777763e-07
830.003,4.220412656666667e-07
839.976,4.199513649777778e-07
850.019,4.254142996555554e-07
