Wavelength (nm),Current (A)
349.973,3.39758760965e-09
359.99,6.4596839280000015e-09
370.003,1.0196622198999995e-08
380.013,1.6738344496500003e-08
390.019,2.8997066889999987e-08
400.022,4.563354659449999e-08
410.021,6.671054635499998e-08
420.016,9.042998099499998e-08
430.007,1.0448774837999999e-07
439.994,1.2676698719000004e-07
449.977,1.4947544931000005e-07
460.035,1.7355889854000002e-07
470.01,1.9629925882500004e-07
479.98,2.1781851910500006e-07
490.025,2.3870080852000004e-07
499.985,2.5871588180499996e-07
510.021,2.7710239624000003e-07
519.972,2.9232293246000004e-07
529.998,3.11837787375e-07
540.019,3.2584249425499996e-07
550.034,3.3356857895000004e-07
559.965,3.4899368592499987e-07
569.97,3.645028946299999e-07
579.97,3.7504082748500004e-07
589.964,3.915600730950001e-07
600.032,4.033275983000003e-07
610.014,4.0207518743500004e-07
619.991,3.9183967062000007e-07
629.962,3.8460690401999987e-07
640.006,3.84944616565e-07
649.964,3.8498287461e-07
659.996,3.759556465e-07
670.021,3.603785726899998e-07
680.039,3.4632678913e-07
690.015,3.8890993881e-07
700.014,4.1372948765999974e-07
710.006,4.299210941649997e-07
719.99,4.35351383425e-07
729.968,4.3228800651999997e-07
740.018,4.2359605526499997e-07
749.981,4.123454315399997e-07
760.016,3.963921925949999e-07
769.965,3.6013414667500017e-07
779.985,2.534756145449999e-07
789.997,1.1641428014500002e-07
800.001,4.2602184179500005e-08
809.997,1.3725489666499997e-08
819.985,4.6032183222e-09
829.966,1.7584690798499998e-09
840.015,8.894491838999996e-10
849.979,6.256161933e-10
