Wavelength (nm),Power (W)
350.005,2.1118407961e-07
360.018,2.3425585712000012e-07
370.028,2.562707644400001e-07
380.034,2.9264750992e-07
390.036,3.6211929192999976e-07
400.035,4.4419188372999963e-07
410.031,5.443916444899999e-07
420.022,6.4839198872e-07
430.009,7.028845004499997e-07
439.993,7.979745907399999e-07
449.972,8.953905350599999e-07
460.026,1.0020087950099998e-06
469.997,1.0930243709399997e-06
479.963,1.1863280165400004e-06
490.005,1.25690856467e-06
499.962,1.3225119755800011e-06
509.993,1.36916895152e-06
520.02,1.3962639775900001e-06
529.963,1.4396925013499995e-06
539.98,1.4520360821400004e-06
549.992,1.459827303730001e-06
559.998,1.4447103075500006e-06
570.0,1.4661170229299993e-06
579.995,1.448719454549999e-06
589.986,1.4700223573399995e-06
599.97,1.45828106158e-06
610.028,1.4209325639100002e-06
620.001,1.3624165097400005e-06
629.968,1.3224937367499998e-06
640.008,1.2981848396799992e-06
649.963,1.2635647573499997e-06
659.991,1.2306905613900003e-06
670.012,1.1661299194300002e-06
680.026,1.1055702813200005e-06
690.032,1.2301982400399995e-06
700.032,1.272586385979999e-06
710.026,1.2945639786900011e-06
720.012,1.29200266883e-06
729.991,1.2743935047499998e-06
739.964,1.2487914493899998e-06
750.007,1.21582127631e-06
759.965,1.1791845315699996e-06
769.994,1.1270412923299994e-06
780.015,1.0594498531600008e-06
790.028,1.0202995278899996e-06
800.034,9.8045865255e-07
810.032,9.472922883800002e-07
820.021,9.036634355500004e-07
830.003,8.821507904600001e-07
839.976,8.702089493899996e-07
850.019,8.733806180600001e-07
