Wavelength (nm),Power (W)
350.016,1.51494678003e-07
360.032,1.6021202760499984e-07
369.964,1.690929532559999e-07
379.973,1.7803255680599997e-07
389.978,2.0119856868200006e-07
399.98,2.389922469900002e-07
409.978,2.8566163786999976e-07
419.972,3.415197492099999e-07
429.962,3.6435830668999993e-07
440.028,4.241606576299998e-07
450.01,4.982891532200003e-07
459.987,5.6732658002e-07
469.961,6.397260165099999e-07
480.009,6.990469500399997e-07
489.973,7.648101527099996e-07
500.013,8.199506885299997e-07
509.968,8.743983699000004e-07
519.997,9.113968797900001e-07
530.022,9.500802610100004e-07
539.962,9.839068693399995e-07
549.977,1.0031490209100002e-06
559.986,1.01545342197e-06
569.99,1.0513940177199996e-06
579.989,1.0704403950700005e-06
589.982,1.0798762423400001e-06
599.969,1.0962607046099996e-06
610.03,1.0910534038299998e-06
620.005,1.06100050605e-06
629.975,1.0327968235e-06
640.018,1.0161334465900003e-06
649.976,1.0099147632899995e-06
660.006,9.846287929499999e-07
670.03,9.446371816599994e-07
679.968,8.996936114e-07
690.022,9.195638983499996e-07
700.02,9.6742200182e-07
710.01,9.993577923900001e-07
719.994,1.0204285234999996e-06
729.971,1.01959234176e-06
740.02,1.00923400239e-06
749.982,9.973599600899998e-07
760.016,9.7959461496e-07
769.964,9.518118977500004e-07
779.982,9.0631435137e-07
789.993,8.564992736900002e-07
799.996,8.247637794000001e-07
809.991,8.096870639100004e-07
819.979,7.827297011299994e-07
830.036,7.623856643999992e-07
840.007,7.591908107100004e-07
849.969,7.686875991800001e-07
